year,strategy_return_pct,spy_return_pct,excess_return_pct,winner
1999,0.0,19.380238760477518,-19.380238760477518,spy
2000,14.311925657588631,-9.79802320584444,24.109948863433072,strategy
2001,0.0,-11.26637317670427,11.26637317670427,strategy
2002,-16.596238751887547,-23.63022220273361,7.033983450846062,strategy
2003,71.14420042652586,22.191719723505443,48.95248070302041,strategy
2004,10.05982246088777,8.66672579224328,1.393096668644489,strategy
2005,49.7047778948817,3.499583522588412,46.20519437229329,strategy
2006,-2.822672513058655,11.775847299380949,-14.598519812439605,spy
2007,89.45742728221661,3.423648414691982,86.03377886752463,strategy
2008,-44.61046179348143,-37.735456824562995,-6.875004968918432,spy
2009,9.533612156075556,19.879521879234098,-10.345909723158542,spy
2010,24.00536613919193,10.959144064481974,13.046222074709958,strategy
2011,5.353143772351343,-1.2199945017918434,6.5731382741431865,strategy
2012,10.51469428707177,11.694120519301453,-1.1794262322296838,spy
2013,54.99246767239177,26.448038839187028,28.54442883320474,strategy
2014,20.990074388757442,12.366059120717686,8.624015268039756,strategy
2015,13.223640432559813,-0.7593815967543827,13.983022029314196,strategy
2016,46.36908223158458,11.197887786494176,35.1711944450904,strategy
2017,39.82786760362544,18.478058445821468,21.349809157803975,strategy
2018,-17.261713432824198,-7.013428438904956,-10.248284993919242,spy
2019,32.3545447353619,28.651368924082753,3.703175811279145,strategy
2020,46.9358321719676,15.086037646519523,31.849794525448075,strategy
2021,33.63893897208585,28.788736259166804,4.8502027129190495,strategy
2022,-8.652659975400457,-19.94515511159379,11.292495136193335,strategy
2023,11.373817254104846,24.812244214345846,-13.438426960241,spy
2024,92.98563061888983,23.998735778721247,68.98689484016859,strategy
2025,1.9261329596899968,16.639293552326606,-14.713160592636608,spy
2026,42.63978258347048,9.144141765739233,33.49564081773124,strategy
