year,strategy_return_pct,spy_return_pct,excess_return_pct,winner
1999,0.0,19.380238760477518,-19.380238760477518,spy
2000,13.095705501917653,-9.79802320584444,22.893728707762094,strategy
2001,0.0,-11.26637317670427,11.26637317670427,strategy
2002,-7.5778041998803225,-23.63022220273361,16.052418002853287,strategy
2003,42.46318420628936,22.191719723505443,20.27146448278392,strategy
2004,16.014884427330102,8.66672579224328,7.348158635086822,strategy
2005,18.45330060893675,3.499583522588412,14.953717086348338,strategy
2006,-8.631614169301304,11.775847299380949,-20.407461468682254,spy
2007,80.52009068321293,3.423648414691982,77.09644226852095,strategy
2008,-30.56778249581408,-37.735456824562995,7.167674328748916,strategy
2009,1.1535136330685258,19.879521879234098,-18.72600824616557,spy
2010,11.7927823713994,10.959144064481974,0.8336383069174271,strategy
2011,1.5327764245330444,-1.2199945017918434,2.752770926324888,strategy
2012,5.339644503030683,11.694120519301453,-6.3544760162707705,spy
2013,38.80434360403409,26.448038839187028,12.35630476484706,strategy
2014,2.5712726941655717,12.366059120717686,-9.794786426552115,spy
2015,8.831306798827088,-0.7593815967543827,9.59068839558147,strategy
2016,23.217415908857685,11.197887786494176,12.019528122363509,strategy
2017,40.013749300276125,18.478058445821468,21.535690854454657,strategy
2018,-3.7539119984595137,-7.013428438904956,3.2595164404454424,strategy
2019,15.01934522320889,28.651368924082753,-13.632023700873862,spy
2020,17.197023102287634,15.086037646519523,2.1109854557681107,strategy
2021,33.839728478485334,28.788736259166804,5.05099221931853,strategy
2022,-9.513817538822721,-19.94515511159379,10.43133757277107,strategy
2023,4.5704632331938555,24.812244214345846,-20.24178098115199,spy
2024,41.07558662023012,23.998735778721247,17.076850841508872,strategy
2025,-1.502182207257563,16.639293552326606,-18.141475759584168,spy
2026,34.93557560462954,9.144141765739233,25.791433838890306,strategy
