year,strategy_return_pct,spy_return_pct,excess_return_pct,winner
1999,0.0,19.380238760477518,-19.380238760477518,spy
2000,-0.671973576267848,-9.79802320584444,9.126049629576592,strategy
2001,0.0,-11.26637317670427,11.26637317670427,strategy
2002,-3.2852852346091588,-23.63022220273361,20.34493696812445,strategy
2003,-10.269374033075884,22.191719723505443,-32.46109375658133,spy
2004,-2.75789608912852,8.66672579224328,-11.4246218813718,spy
2005,0.5159859222963803,3.499583522588412,-2.9835976002920317,spy
2006,-2.6895585392398003,11.775847299380949,-14.46540583862075,spy
2007,1.150304814698777,3.423648414691982,-2.273343599993205,spy
2008,0.0,-37.735456824562995,37.735456824562995,strategy
2009,-0.6618799157868338,19.879521879234098,-20.54140179502093,spy
2010,-9.591601612640932,10.959144064481974,-20.550745677122904,spy
2011,-4.8069808826730736,-1.2199945017918434,-3.58698638088123,spy
2012,0.2064878132115533,11.694120519301453,-11.4876327060899,spy
2013,1.4045309289802521,26.448038839187028,-25.043507910206777,spy
2014,1.2759846546298137,12.366059120717686,-11.090074466087874,spy
2015,-2.7042061254636707,-0.7593815967543827,-1.944824528709288,spy
2016,-0.4528193065385211,11.197887786494176,-11.650707093032697,spy
2017,-1.8209304087328682,18.478058445821468,-20.298988854554334,spy
2018,-9.947964147008904,-7.013428438904956,-2.9345357081039474,spy
2019,-2.786479967154265,28.651368924082753,-31.437848891237017,spy
2020,6.300818540699726,15.086037646519523,-8.785219105819797,spy
2021,-4.906467765309685,28.788736259166804,-33.69520402447649,spy
2022,2.0248909824688743,-19.94515511159379,21.970046094062667,strategy
2023,1.0297801527719974,24.812244214345846,-23.782464061573847,spy
2024,-0.27900344917172193,23.998735778721247,-24.27773922789297,spy
2025,3.979904127361311,16.639293552326606,-12.659389424965294,spy
2026,4.2610515602665044,9.144141765739233,-4.883090205472729,spy
