year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;21,789070557090405;-9,79802320584444;31,587093762934845;strategy
2001;0,0;-11,26637317670427;11,26637317670427;strategy
2002;-1,2248563857075623;-23,63022220273361;22,40536581702605;strategy
2003;46,051187070806776;22,191719723505443;23,859467347301333;strategy
2004;2,2498519990567845;8,66672579224328;-6,416873793186496;spy
2005;20,39355708695849;3,499583522588412;16,89397356437008;strategy
2006;9,274160985373015;11,775847299380949;-2,5016863140079337;spy
2007;27,50623511233956;3,423648414691982;24,082586697647578;strategy
2008;-10,681242695202897;-37,735456824562995;27,054214129360098;strategy
2009;8,14602935724784;19,879521879234098;-11,733492521986257;spy
2010;16,851697134904153;10,959144064481974;5,89255307042218;strategy
2011;0,7539465327824457;-1,2199945017918434;1,9739410345742892;strategy
2012;9,69450014544908;11,694120519301453;-1,9996203738523732;spy
2013;23,362610319539012;26,448038839187028;-3,0854285196480156;spy
2014;15,86511691480359;12,366059120717686;3,4990577940859033;strategy
2015;0,2648805440102153;-0,7593815967543827;1,024262140764598;strategy
2016;14,185356430690987;11,197887786494176;2,9874686441968112;strategy
2017;16,969047355959745;18,478058445821468;-1,5090110898617226;spy
2018;-12,987052314774417;-7,013428438904956;-5,97362387586946;spy
2019;8,758857470514393;28,651368924082753;-19,89251145356836;spy
2020;27,40834988906966;15,086037646519523;12,322312242550138;strategy
2021;23,50729987772313;28,788736259166804;-5,2814363814436724;spy
2022;-7,962225033522441;-19,94515511159379;11,982930078071352;strategy
2023;2,48311979721183;24,812244214345846;-22,329124417134015;spy
2024;44,41606075001439;23,998735778721247;20,41732497129314;strategy
2025;-2,6771951607044597;16,639293552326606;-19,316488713031067;spy
2026;17,015513887524627;9,144141765739233;7,871372121785393;strategy
