run_id,strategy_id,period,strategy_return_pct,spy_return_pct,diff_pct,avg_gross_exposure_value,avg_gross_exposure_pct,avg_cash_pct,avg_positions_count,trades,trade_avg_return_pct,trade_loss_rate_pct,stop_loss_trades,stop_loss_rate_pct
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2023,-0.01273985873327943,24.28679932579316,-24.29953918452644,18166.333461724393,19.161757730290834,80.83824226970917,4.988,58,-0.2639768924505127,58.620689655172406,6,10.344827586206897
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2025,-3.0295508961701745,16.35271004396317,-19.382260940133346,25215.267625905366,18.32648715848144,81.67351284151854,3.16,33,0.6964102733678608,66.66666666666666,13,39.39393939393939
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,1999,0.0,19.38023876047774,-19.38023876047774,0.0,0.0,100.0,0.0,0,,,0,
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2019,14.437675506623293,28.785206349908176,-14.347530843284883,30980.694886156933,50.16191976158933,49.83808023841066,7.007936507936508,63,6.100893267551265,26.984126984126984,2,3.1746031746031744
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2009,10.962938307553571,23.492913430296515,-12.529975122742943,8697.734673061526,35.6256388891472,64.3743611108528,6.611111111111111,61,7.920904937903475,27.86885245901639,8,13.114754098360656
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2024,49.78611101720452,23.304794786605566,26.481316230598953,96740.85895354189,75.73509327917075,24.26490672082925,14.119047619047619,133,41.32394111536496,30.82706766917293,14,10.526315789473683
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2020-04,0.0,12.69835537781885,-12.69835537781885,0.0,0.0,100.0,0.0,0,,,0,
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2011-10,0.0,10.914713484379913,-10.914713484379913,0.0,0.0,100.0,0.0,0,,,0,
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2009-03,0.0,7.561201562039321,-7.561201562039321,0.0,0.0,100.0,0.0,0,,,0,
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2001-04,0.0,8.544006351966038,-8.544006351966038,0.0,0.0,100.0,0.0,0,,,0,
