run_id,strategy_id,peak_date,valley_date,recovery_date,drawdown_pct,days_to_valley,days_to_recover,recovered
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2010-01-13,2010-02-04,2010-03-05,-9.047889048236346,22,51,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-05-20,2013-06-24,2013-07-15,-8.611096966114795,35,56,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2021-06-08,2021-07-19,2021-08-09,-8.547636151727966,41,62,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2011-04-27,2011-06-17,2011-07-06,-8.258849608765273,51,70,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2024-02-15,2024-02-21,2024-02-26,-8.251741196308915,6,11,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2021-03-17,2021-03-24,2021-05-07,-8.154646835137825,7,51,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2000-03-07,2000-04-04,2000-04-07,-7.95024382967795,28,31,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2011-02-17,2011-03-10,2011-04-21,-7.82117666522073,21,63,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2021-02-16,2021-03-04,2021-03-17,-7.716897232763353,16,29,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-11-21,2017-12-04,2018-01-08,-7.213828920114973,13,48,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2021-09-03,2021-10-04,2021-10-28,-7.178872961364002,31,55,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-03-01,2017-04-13,2017-05-16,-7.162321513450543,43,76,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2005-10-03,2005-10-13,2005-11-03,-6.9722563032043166,10,31,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2021-01-14,2021-01-27,2021-02-04,-6.9542055252522434,13,21,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-06-08,2017-07-03,2017-10-06,-6.520059021099467,25,120,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2020-08-06,2020-08-11,2020-08-26,-6.304157595212034,5,20,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-10-02,2013-10-09,2013-10-17,-5.633086060443682,7,15,True
