year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;30,889842921151978;-9,79802320584444;40,68786612699642;strategy
2001;-18,296628778582168;-11,26637317670427;-7,030255601877897;spy
2002;-25,399188362837034;-23,63022220273361;-1,7689661601034246;spy
2003;153,41672147852802;22,191719723505443;131,22500175502256;strategy
2004;54,34193522400761;8,66672579224328;45,67520943176433;strategy
2005;45,34979752329933;3,499583522588412;41,85021400071092;strategy
2006;12,75539342019567;11,775847299380949;0,9795461208147209;strategy
2007;61,475507662634364;3,423648414691982;58,05185924794238;strategy
2008;-41,31731405863154;-37,735456824562995;-3,5818572340685435;spy
2009;9,593350505262087;19,879521879234098;-10,28617137397201;spy
2010;52,21927868472005;10,959144064481974;41,26013462023808;strategy
2011;-0,08006585444901848;-1,2199945017918434;1,139928647342825;strategy
2012;33,64872917477575;11,694120519301453;21,9546086554743;strategy
2013;46,800017461537394;26,448038839187028;20,351978622350366;strategy
2014;32,50566984786789;12,366059120717686;20,139610727150206;strategy
2015;5,315271889139117;-0,7593815967543827;6,074653485893499;strategy
2016;34,658126995969354;11,197887786494176;23,460239209475176;strategy
2017;16,755045189182315;18,478058445821468;-1,7230132566391525;spy
2018;21,579867131142038;-7,013428438904956;28,593295570046994;strategy
2019;32,33360952671222;28,651368924082753;3,68224060262947;strategy
2020;79,31392655263237;15,086037646519523;64,22788890611284;strategy
2021;45,07282942867743;28,788736259166804;16,284093169510626;strategy
2022;3,3701613527813645;-19,94515511159379;23,315316464375158;strategy
2023;61,538693825511274;24,812244214345846;36,72644961116543;strategy
2024;117,74181450771515;23,998735778721247;93,74307872899391;strategy
2025;58,65284405481881;16,639293552326606;42,0135505024922;strategy
2026;51,45495659953132;9,144141765739233;42,31081483379209;strategy
