cagr,calmar,cost_multiplier,dd_guard_activation_count,delayed_execution_count,execution_timing_mode,label,max_drawdown,notes,position_stop_count,reentry_count,run_dir,run_id,scenario,slippage_multiplier,strategy_id,strict_next_close_enabled,total_return,trades,variant_kind
13.522211472530522,0.42613382494398067,1.0,108,0,current_default,alternativa_defensiva,-31.73231196633627,partial run from interrupted strict validation attempt,103,26,runs\STRICT_EXEC_alternativa_defensiva_original_base_20260603_215112_952241,STRICT_EXEC_alternativa_defensiva_original_base_20260603_215112_952241,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,False,3121.3008607021975,5847,original
10.045066102604494,0.30734227536846664,2.0,130,0,current_default,alternativa_defensiva,-32.683645914190166,partial run from interrupted strict validation attempt,105,22,runs\STRICT_EXEC_alternativa_defensiva_original_cost2_slip2_20260603_215207_260546,STRICT_EXEC_alternativa_defensiva_original_cost2_slip2_20260603_215207_260546,cost2_slip2,2.0,,False,1274.4860359911581,6501,original
19.13130964696903,0.37452243274507846,1.0,0,0,current_default,baseline,-51.08187914605078,partial run from interrupted strict validation attempt,0,0,runs\STRICT_EXEC_baseline_original_base_20260603_213202_686898,STRICT_EXEC_baseline_original_base_20260603_213202_686898,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1,False,11963.578192382429,670,original
18.007650474340476,0.34802393457825764,2.0,0,0,current_default,baseline,-51.74256332732548,partial run from interrupted strict validation attempt,0,0,runs\STRICT_EXEC_baseline_original_cost2_slip2_20260603_213542_155218,STRICT_EXEC_baseline_original_cost2_slip2_20260603_213542_155218,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1,False,9206.6414415257,670,original
19.13130964696903,0.37452243274507846,1.0,0,0,strict_next_close,baseline,-51.08187914605078,partial run from interrupted strict validation attempt,0,0,runs\STRICT_EXEC_baseline_strict_base_20260603_213830_610401,STRICT_EXEC_baseline_strict_base_20260603_213830_610401,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_STRICT_NEXT_CLOSE,True,11963.578192382429,670,strict
18.007650474340476,0.34802393457825764,2.0,0,0,strict_next_close,baseline,-51.74256332732548,partial run from interrupted strict validation attempt,0,0,runs\STRICT_EXEC_baseline_strict_cost2_slip2_20260603_214103_036603,STRICT_EXEC_baseline_strict_cost2_slip2_20260603_214103_036603,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_STRICT_NEXT_CLOSE,True,9206.6414415257,670,strict
14.037913866503926,0.43006764692413074,1.0,105,0,current_default,mejor_global,-32.64117625890698,partial run from interrupted strict validation attempt,78,27,runs\STRICT_EXEC_mejor_global_original_base_20260603_214405_998656,STRICT_EXEC_mejor_global_original_base_20260603_214405_998656,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,False,3546.8989003659276,5819,original
11.50674763212356,0.34062912416191227,2.0,135,0,current_default,mejor_global,-33.78086844580566,partial run from interrupted strict validation attempt,79,23,runs\STRICT_EXEC_mejor_global_original_cost2_slip2_20260603_214639_555079,STRICT_EXEC_mejor_global_original_cost2_slip2_20260603_214639_555079,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,False,1872.5811241346828,6447,original
13.420618279844732,0.4090076869007691,1.0,109,210,strict_next_close,mejor_global,-32.81263093497986,partial run from interrupted strict validation attempt,76,25,runs\STRICT_EXEC_mejor_global_strict_base_20260603_214828_800255,STRICT_EXEC_mejor_global_strict_base_20260603_214828_800255,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_STRICT_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,True,3043.298584029523,5585,strict
12.015899659556295,0.3568824776644556,2.0,119,220,strict_next_close,mejor_global,-33.66906590144715,partial run from interrupted strict validation attempt,76,25,runs\STRICT_EXEC_mejor_global_strict_cost2_slip2_20260603_214943_673466,STRICT_EXEC_mejor_global_strict_cost2_slip2_20260603_214943_673466,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_STRICT_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,True,2134.620960283891,5959,strict
