2008_2009_max_dd,2008_2009_return,2025_max_dd,2025_return,cagr,calmar,cost_multiplier,dd_guard_activation_count,delayed_execution_count,execution_timing_mode,exposure_avg,final_equity,label,max_drawdown,metric_no_effect,metric_warning,next_open_available,notes,params,position_stop_count,q4_2018_max_dd,q4_2018_return,reentry_count,robust_score,run_dir,run_id,scenario,slippage_bps_per_side,slippage_multiplier,status,strategy_id,strict_next_close_enabled,total_return,trades,variant_kind,worst_year
-32.734903841703776,-26.507191171658228,-24.00553622461836,0.6156172471988075,12.284515154684295,0.3726781834287138,1.0,128,229,strict_next_close,21377.40414448354,238606.84781003662,longrun,-32.96279659212755,False,False,True,,"(12, 22, 0.72, 0.4, 8, 20)",75,-25.120968274853205,-23.98597643401894,26,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_005558_846465,STRICT_EXEC_longrun_strict_slip5_20260604_005558_846465,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E72_CR40_REDD_DD8_SL20,True,2286.068478100366,6023,strict,-28.416129125297694
-32.92238985568841,-26.747812303662776,-24.07104349285355,0.45241493323080473,12.894207578858484,0.3891894104291139,1.0,98,201,strict_next_close,25315.339512697567,276739.68696986174,longrun,-33.1309311952798,False,False,True,,"(12, 22, 0.72, 0.4, 8, 20)",75,-25.181255940477186,-24.054428110937287,28,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_005624_611519,STRICT_EXEC_longrun_strict_slip10_20260604_005624_611519,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E72_CR40_REDD_DD8_SL20,True,2667.396869698617,5813,strict,-28.554062001878755
-32.0324545308621,-25.941406194282568,-22.51937421547453,3.4738757067807935,13.958752746296366,0.43399232380931524,1.0,91,213,strict_next_close,32514.041028877033,357821.9716285926,longrun,-32.16359364095452,False,False,True,,"(12, 22, 0.78, 0.4, 7, 18)",97,-25.65257242744401,-24.70302003078384,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_005651_306437,STRICT_EXEC_longrun_strict_base_20260604_005651_306437,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD7_SL18,True,3478.2197162859256,5387,strict,-27.8732178637228
-32.21532655019486,-26.194752948348466,-22.59607790524437,3.2852643618187294,12.937204656874513,0.3999378416388618,1.0,93,218,strict_next_close,26735.53616490711,279639.91159948154,longrun,-32.34803839481793,False,False,True,,"(12, 22, 0.78, 0.4, 7, 18)",98,-25.71370697133912,-24.76990509781122,27,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_005717_112490,STRICT_EXEC_longrun_strict_slip5_20260604_005717_112490,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD7_SL18,True,2696.3991159948155,5813,strict,-28.021676906944048
-32.39752598290565,-26.447103605529964,-22.672756979574793,3.096856502909029,11.778664169277754,0.3620653628472726,1.0,118,243,strict_next_close,20588.142941593967,210860.35841780074,longrun,-32.531872357661186,False,False,True,,"(12, 22, 0.78, 0.4, 7, 18)",99,-25.77481782835208,-24.836761270363883,26,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_005742_838615,STRICT_EXEC_longrun_strict_slip10_20260604_005742_838615,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD7_SL18,True,2008.6035841780074,5938,strict,-28.169651619701284
-32.3452550187207,-26.080324212212467,-23.43652869492603,2.2490336556259427,14.631473759036195,0.45053451924697563,1.0,96,197,strict_next_close,34694.28975231005,420389.28150874644,longrun,-32.47581069590688,False,False,True,,"(12, 22, 0.78, 0.4, 7, 20)",75,-25.73129054531624,-24.598357188460074,26,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_005810_093952,STRICT_EXEC_longrun_strict_base_20260604_005810_093952,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD7_SL20,True,4103.892815087464,5466,strict,-28.09748235429629
-32.52727606719309,-26.331833327187294,-23.51221063259752,2.0628067863570188,12.931443268276466,0.3959488634354386,1.0,116,216,strict_next_close,23728.6967833181,279249.60411057575,longrun,-32.65937716319522,False,False,True,,"(12, 22, 0.78, 0.4, 7, 20)",76,-25.791090774936333,-24.66625643150061,24,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_005835_676700,STRICT_EXEC_longrun_strict_slip5_20260604_005835_676700,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD7_SL20,True,2692.4960411057577,5869,strict,-28.245326110749815
-32.70858114939259,-26.58233202317588,-23.587868391852496,1.8767805468731247,12.87333398996644,0.39197376579449705,1.0,115,213,strict_next_close,23722.93003095764,275342.19935018383,longrun,-32.84233566976938,False,False,True,,"(12, 22, 0.78, 0.4, 7, 20)",75,-25.850867836410853,-24.73412487703033,23,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_005904_286777,STRICT_EXEC_longrun_strict_slip10_20260604_005904_286777,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD7_SL20,True,2653.4219935018386,5792,strict,-28.392662127944767
-32.601072898751035,-26.276809823971583,-26.897343023144728,-4.059808239423612,13.116434927082853,0.40017547447988866,1.0,131,234,strict_next_close,25837.467072510237,292047.8727978193,longrun,-32.77670862795975,False,False,True,,"(12, 22, 0.78, 0.4, 8, 20)",78,-25.73129054531631,-24.59835718846014,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_005930_487898,STRICT_EXEC_longrun_strict_base_20260604_005930_487898,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD8_SL20,True,2820.478727978193,5794,strict,-28.288606165596477
-32.79165979179163,-26.522482997166218,-26.95074570311975,-4.217378211971123,12.8503642669356,0.3899926592875775,1.0,123,225,strict_next_close,24623.67778615038,273812.23346126656,longrun,-32.95027216771238,False,False,True,,"(12, 22, 0.78, 0.4, 8, 20)",77,-25.791090774936375,-24.666256431500642,25,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_005956_715191,STRICT_EXEC_longrun_strict_slip5_20260604_005956_715191,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD8_SL20,True,2638.122334612666,5718,strict,-28.431023753494078
-32.972621216121155,-26.77258840650033,-27.004136597227912,-4.374712625285904,14.067808600166366,0.424590884674808,1.0,88,191,strict_next_close,33167.838181074,367316.4132464914,longrun,-33.13262038336228,False,False,True,,"(12, 22, 0.78, 0.4, 8, 20)",75,-25.850867836410842,-24.734124877030318,28,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_010022_667930,STRICT_EXEC_longrun_strict_slip10_20260604_010022_667930,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C22_E78_CR40_REDD_DD8_SL20,True,3573.164132464914,5532,strict,-28.578227176501247
-32.32654281134775,-26.088408882172544,-24.389197274211117,0.8654201709174414,13.288482233997456,0.4110703180215341,1.0,80,201,strict_next_close,27316.660741566484,304456.4743722053,longrun,-32.32654281134775,False,False,True,,"(12, 23, 0.72, 0.4, 7, 18)",97,-25.981350597516396,-25.013608340012116,24,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_010048_935862,STRICT_EXEC_longrun_strict_base_20260604_010048_935862,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C23_E72_CR40_REDD_DD7_SL18,True,2944.564743722053,5554,strict,-28.01638599989753
-32.40998387420151,-26.233480583364088,-24.446177564290505,0.7025078669204765,12.939999101806233,0.3988183732641501,1.0,82,203,strict_next_close,26038.652486338655,279829.41158888466,longrun,-32.445844949163515,False,False,True,,"(12, 23, 0.72, 0.4, 7, 18)",99,-26.06633875396659,-25.104814144774746,22,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_010115_980897,STRICT_EXEC_longrun_strict_slip5_20260604_010115_980897,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C23_E72_CR40_REDD_DD7_SL18,True,2698.2941158888466,5537,strict,-28.05944590491022
-32.58844659067846,-26.482033555343097,-24.503153207416805,0.5397405590206183,13.23422142439501,0.404890227958234,1.0,85,206,strict_next_close,27095.17975083503,300489.17976904614,longrun,-32.685949204385764,False,False,True,,"(12, 23, 0.72, 0.4, 7, 18)",98,-26.151284567076903,-25.195967952368548,23,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_010142_015743,STRICT_EXEC_longrun_strict_slip10_20260604_010142_015743,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C23_E72_CR40_REDD_DD7_SL18,True,2904.8917976904613,5511,strict,-28.203763538972638
-32.198080179618785,-26.121874718788053,-26.206977111855323,0.3758745552429277,14.073612256628554,0.432728016522836,1.0,84,207,strict_next_close,32055.94419176855,367828.4252856488,longrun,-32.52299763189902,False,False,True,,"(12, 23, 0.78, 0.4, 7, 18)",97,-25.65257242744403,-24.703020030783872,26,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_010209_794175,STRICT_EXEC_longrun_strict_base_20260604_010209_794175,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C23_E78_CR40_REDD_DD7_SL18,True,3578.284252856488,5546,strict,-28.04897888321526
-32.30806967187356,-26.295759551209375,-26.267464326966007,0.19883786568002382,13.193153219742037,0.4025946771083614,1.0,85,208,strict_next_close,27540.27610072044,297519.63020040723,longrun,-32.77031210273801,False,False,True,,"(12, 23, 0.78, 0.4, 7, 18)",100,-25.713706971339136,-24.76990509781122,23,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_010240_957130,STRICT_EXEC_longrun_strict_slip5_20260604_010240_957130,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C23_E78_CR40_REDD_DD7_SL18,True,2875.196302004072,5550,strict,-28.120183262327846
-32.49011247539504,-26.54783963314744,-26.32794590427906,0.021978873817096733,12.646484451545792,0.38333360866708927,1.0,98,222,strict_next_close,24778.868215803624,260586.48188280963,longrun,-32.99080530799162,False,False,True,,"(12, 23, 0.78, 0.4, 7, 18)",100,-25.774817828352102,-24.836761270363894,24,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_010309_651637,STRICT_EXEC_longrun_strict_slip10_20260604_010309_651637,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R12_C23_E78_CR40_REDD_DD7_SL18,True,2505.8648188280963,5714,strict,-28.26802849284854
-33.15099677430702,-27.100765206189227,-25.940860275274545,-2.259329765381568,12.198551865844355,0.36789693088934383,1.0,104,219,strict_next_close,21254.720263253388,233655.6894657438,longrun,-33.15752549594777,False,False,True,,"(13, 22, 0.72, 0.4, 7, 18)",97,-25.581065640192648,-24.630599971299272,18,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_010335_574716,STRICT_EXEC_longrun_strict_base_20260604_010335_574716,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R13_C22_E72_CR40_REDD_DD7_SL18,True,2236.556894657438,5705,strict,-29.002335101472333
-33.3270330196639,-27.34607510295195,-25.99488177155136,-2.44256186318611,13.151745468968802,0.3945052692273296,1.0,84,199,strict_next_close,26808.178876775168,294554.16441331827,longrun,-33.337312565501485,False,False,True,,"(13, 22, 0.72, 0.4, 7, 18)",97,-25.642730369783283,-24.698026743767887,18,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip5_20260604_010402_053364,STRICT_EXEC_longrun_strict_slip5_20260604_010402_053364,slip5,5,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R13_C22_E72_CR40_REDD_DD7_SL18,True,2845.5416441331827,5620,strict,-29.144500030484956
-33.50280236936754,-27.590715435400213,-26.04889144473006,-2.6254844228515983,11.913626845785451,0.3554522046534657,1.0,115,229,strict_next_close,20265.411940217316,217942.9321416018,longrun,-33.5168179851358,False,False,True,,"(13, 22, 0.72, 0.4, 7, 18)",97,-25.704370483636417,-24.765423613334114,17,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_slip10_20260604_010427_790923,STRICT_EXEC_longrun_strict_slip10_20260604_010427_790923,slip10,10,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R13_C22_E72_CR40_REDD_DD7_SL18,True,2079.429321416018,5862,strict,-29.286481006145237
-33.112321504486374,-27.12030634309781,-26.125045841121896,-2.9425992729086192,12.253089375459059,0.3686405481126136,1.0,120,238,strict_next_close,22876.15716393046,236785.23292860386,longrun,-33.2385827825862,False,False,True,,"(13, 22, 0.78, 0.4, 7, 18)",98,-26.000277390596573,-25.055165821169712,20,-1000000000.0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_longrun_strict_base_20260604_010454_014803,STRICT_EXEC_longrun_strict_base_20260604_010454_014803,base,0,1.0,completed,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R13_C22_E78_CR40_REDD_DD7_SL18,True,2267.8523292860386,5785,strict,-29.021366509605674
