year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;47,19310488752806;-9,79802320584444;56,991128093372495;strategy
2001;-23,26713562047501;-11,26637317670427;-12,00076244377074;spy
2002;-29,01749528674743;-23,63022220273361;-5,38727308401382;spy
2003;68,2310212242222;22,191719723505443;46,03930150071676;strategy
2004;36,21162719659799;8,66672579224328;27,544901404354707;strategy
2005;30,541911678102473;3,499583522588412;27,04232815551406;strategy
2006;7,8811073366891415;11,775847299380949;-3,8947399626918076;spy
2007;31,95342041968687;3,423648414691982;28,52977200499489;strategy
2008;-38,43263438559386;-37,735456824562995;-0,6971775610308626;spy
2009;-0,40582899768297764;19,879521879234098;-20,285350876917075;spy
2010;25,474968732680892;10,959144064481974;14,515824668198919;strategy
2011;-8,348072166475228;-1,2199945017918434;-7,128077664683385;spy
2012;14,138013740363675;11,694120519301453;2,443893221062222;strategy
2013;29,04725649406523;26,448038839187028;2,5992176548782027;strategy
2014;18,957693014549392;12,366059120717686;6,591633893831705;strategy
2015;1,0248998422366151;-0,7593815967543827;1,7842814389909978;strategy
2016;24,582609132754673;11,197887786494176;13,384721346260497;strategy
2017;16,674751729668678;18,478058445821468;-1,8033067161527896;spy
2018;16,663985762595136;-7,013428438904956;23,677414201500092;strategy
2019;30,63200563827366;28,651368924082753;1,9806367141909078;strategy
2020;28,843556476183217;15,086037646519523;13,757518829663693;strategy
2021;24,24530464171397;28,788736259166804;-4,543431617452832;spy
2022;-8,436176653843185;-19,94515511159379;11,508978457750606;strategy
2023;40,60391931002767;24,812244214345846;15,791675095681825;strategy
2024;82,94275880525272;23,998735778721247;58,944023026531475;strategy
2025;25,476792919005085;16,639293552326606;8,837499366678479;strategy
2026;33,08189059698463;9,144141765739233;23,937748831245393;strategy
