ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
AAPL;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;5;146,73714705643044;717,9558655489211;0,9263389706611632;1,011160969734192;665,0704974727321;725,9689492347982;1,5961691939345568;1,7423254781635156;0,9263389706611632;9,156691206944267;9,156691206944267;8,676691206944266
AES;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;11;126,7161410018553;16,600823649865386;40,0625;42,90625;665,0704974727321;712,2790897270368;1,5961691939345568;1,7094698153448882;40,0625;7,098283931357252;7,098283931357252;6,618283931357253
APH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;12;110,5566231177066;627,1013930585771;1,0605469942092896;1,171875;665,0704974727321;734,88444499052;1,5961691939345568;1,763722667977248;1,0605469942092896;10,49722514877458;10,49722514877458;10,01722514877458
COO;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;13;106,66666666666669;175,88641255477214;3,78125;3,53125;665,0704974727321;621,0988943340391;1,5961691939345568;1,4906373464016935;3,78125;-6,6115702479338845;-6,6115702479338845;-7,091570247933884
CTSH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;10;130,54663742474867;424,231101022512;1,5677080154418943;2,2486979961395264;665,0704974727321;953,9676267693877;1,5961691939345568;2,2895223042465305;1,5677080154418943;43,43857236104513;43,43857236104513;42,958572361045135
COHR;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;9;134,21052631578948;19,728411142728064;2,875;4,0625;56,71918203534319;80,14667026733275;0,13612603688482364;0,1923520086415986;2,875;41,30434782608696;41,30434782608696;40,824347826086964
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;6;144,9541013844152;8,0353538841747;6,257812976837158;8,75;50,2837418098673;70,30934648652863;0,12068098034368151;0,1687424315676687;6,257812976837158;39,82520782240524;39,82520782240524;39,34520782240524
NVDA;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;15;96,71322173556187;1821,25377855449;0,0772140026092529;0,1265629976987838;140,6262940094181;230,50333778409322;0,3375031056226034;0,5532080106818237;0,0772140026092529;63,911976353907065;63,911976353907065;63,43197635390707
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;228,1250078231098;4,33155222230276;41,875;74,421875;181,38374930892803;322,3622380441882;0,43532099834142723;0,7736693713060516;41,875;77,72388059701491;77,72388059701491;77,24388059701491
TECH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;8;139,9752626324644;1,5930896986278302;7,796875;10,26953125;12,421121243988862;16,360284444111585;0,029810690985573266;0,0392646826658678;7,796875;31,713426853707418;31,713426853707418;31,233426853707417
VRSN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;1;590,6824146981627;0,6277428746843802;161,375;246,0625;101,30200640219186;154,4639811020253;0,24312481536526045;0,37071355464486067;161,375;52,478698683191325;52,478698683191325;51,99869868319133
BIIB;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;3;534,6320346320346;19,30529201417689;42,50363084774604;31,375;820,5450051785141;605,7035369447999;1,9693080124284337;1,4536884886675197;42,0625;-25,40861812778603;-26,182776919953852;-26,662776919953853
TECH;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;8;139,9752626324644;83,70653322372658;7,796875;7,5;652,6493762287432;627,7989991779493;1,5663585029489835;1,5067175980270782;7,796875;-3,8076152304609256;-3,8076152304609256;-4,287615230460926
TRMB;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;12;182,57578069513497;229,14714354549;3,215352675062778;3,84375;736,7888809819856;880,7843330029772;1,7682933143567654;2,113882399207145;3,166666984558105;21,381566762264992;19,543651612803338;19,063651612803337
VRSN;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;left_top_n;1;590,6824146981627;3,49353054110327;161,375;116,625;563,7684910705402;407,43299935616886;1,3530443785692963;0,9778391984548052;161,375;-27,73044151820294;-27,73044151820294;-28,21044151820294
ADBE;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;5;389,4409937888199;5,940409072945619;24,453125;26,390625;145,26156561187335;156,7711081907055;0,34862775746849606;0,37625065965769317;24,453125;7,92332268370608;7,92332268370608;7,44332268370608
AMAT;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;10;209,7752808988764;2,217378673607731;34,340161649768305;44,625;76,14514209043831;98,950523309745;0,1827483410170519;0,23748125594338795;34,3125;30,05464480874316;29,949883332308325;29,469883332308324
COHR;2000-01-28;2000-01-31;2000-04-03;63;enter_or_hold;rebalance_trim;9;134,21052631578948;11,684603386968796;2,875;3,84375;33,59323473753528;44,91269426866131;0,08062376337008467;0,10779046624478714;2,875;33,69565217391304;33,69565217391304;33,21565217391304
CSCO;2000-02-25;2000-02-28;2000-04-03;35;enter_or_hold;rebalance_trim;15;171,4376996805112;2,59658528207192;65,28125;72,9375;169,50833294525754;189,38843901112068;0,4068199990686181;0,4545322536266896;65,28125;11,728099569171846;11,728099569171846;11,248099569171846
