date,equity,cash,gross_exposure,positions_count
2020-01-02,100000.0,100000.0,0.0,0
2020-01-03,100000.0,100000.0,0.0,0
2020-01-06,100000.0,100000.0,0.0,0
2020-01-07,100000.0,100000.0,0.0,0
2020-01-08,100000.0,100000.0,0.0,0
2020-01-09,100000.0,100000.0,0.0,0
2020-01-10,100000.0,100000.0,0.0,0
2020-01-13,100000.0,100000.0,0.0,0
2020-01-14,100000.0,100000.0,0.0,0
2020-01-15,100000.0,100000.0,0.0,0
2020-01-16,100000.0,100000.0,0.0,0
2020-01-17,100000.0,100000.0,0.0,0
2020-01-21,100000.0,100000.0,0.0,0
2020-01-22,100000.0,100000.0,0.0,0
2020-01-23,100000.0,100000.0,0.0,0
2020-01-24,100000.0,100000.0,0.0,0
2020-01-27,100000.0,100000.0,0.0,0
2020-01-28,100000.0,100000.0,0.0,0
2020-01-29,100000.0,100000.0,0.0,0
2020-01-30,100000.0,100000.0,0.0,0
2020-01-31,100000.0,100000.0,0.0,0
2020-02-03,99760.57462090981,-9.094947017729282e-13,99760.57462090981,15
2020-02-04,103512.57917674063,-9.094947017729282e-13,103512.57917674063,15
2020-02-05,102068.79705636417,-9.094947017729282e-13,102068.79705636417,15
2020-02-06,102040.9240337783,-9.094947017729282e-13,102040.9240337783,15
2020-02-07,100988.13460866248,-9.094947017729282e-13,100988.13460866248,15
2020-02-10,103396.72123381552,-9.094947017729282e-13,103396.72123381552,15
2020-02-11,103740.4343412394,-9.094947017729282e-13,103740.4343412394,15
2020-02-12,104803.80368254158,-9.094947017729282e-13,104803.80368254158,15
2020-02-13,105820.25429881188,-9.094947017729282e-13,105820.25429881188,15
2020-02-14,105497.57787210953,-9.094947017729282e-13,105497.57787210953,15
2020-02-18,106054.96064374867,-9.094947017729282e-13,106054.96064374867,15
2020-02-19,109297.14572446511,-9.094947017729282e-13,109297.14572446511,15
2020-02-20,108273.73692352475,-9.094947017729282e-13,108273.73692352475,15
2020-02-21,105933.35613032748,-9.094947017729282e-13,105933.35613032748,15
2020-02-24,102149.03678520751,-9.094947017729282e-13,102149.03678520751,15
2020-02-25,98042.12773620556,-9.094947017729282e-13,98042.12773620556,15
2020-02-26,96670.2184122611,-9.094947017729282e-13,96670.2184122611,15
2020-02-27,91404.71913394892,-9.094947017729282e-13,91404.71913394892,15
2020-02-28,92040.62175284234,-9.094947017729282e-13,92040.62175284234,15
2020-03-02,95217.16638873662,95217.16638873662,0.0,0
2020-03-03,95217.16638873662,95217.16638873662,0.0,0
2020-03-04,95217.16638873662,95217.16638873662,0.0,0
2020-03-05,95217.16638873662,95217.16638873662,0.0,0
2020-03-06,95217.16638873662,95217.16638873662,0.0,0
2020-03-09,95217.16638873662,95217.16638873662,0.0,0
2020-03-10,95217.16638873662,95217.16638873662,0.0,0
2020-03-11,95217.16638873662,95217.16638873662,0.0,0
2020-03-12,95217.16638873662,95217.16638873662,0.0,0
2020-03-13,95217.16638873662,95217.16638873662,0.0,0
2020-03-16,95217.16638873662,95217.16638873662,0.0,0
2020-03-17,95217.16638873662,95217.16638873662,0.0,0
2020-03-18,95217.16638873662,95217.16638873662,0.0,0
2020-03-19,95217.16638873662,95217.16638873662,0.0,0
2020-03-20,95217.16638873662,95217.16638873662,0.0,0
2020-03-23,95217.16638873662,95217.16638873662,0.0,0
2020-03-24,95217.16638873662,95217.16638873662,0.0,0
2020-03-25,95217.16638873662,95217.16638873662,0.0,0
2020-03-26,95217.16638873662,95217.16638873662,0.0,0
2020-03-27,95217.16638873662,95217.16638873662,0.0,0
2020-03-30,95217.16638873662,95217.16638873662,0.0,0
2020-03-31,95217.16638873662,95217.16638873662,0.0,0
2020-04-01,95217.16638873662,95217.16638873662,0.0,0
2020-04-02,95217.16638873662,95217.16638873662,0.0,0
2020-04-03,95217.16638873662,95217.16638873662,0.0,0
2020-04-06,95217.16638873662,95217.16638873662,0.0,0
2020-04-07,95217.16638873662,95217.16638873662,0.0,0
2020-04-08,95217.16638873662,95217.16638873662,0.0,0
2020-04-09,95217.16638873662,95217.16638873662,0.0,0
2020-04-13,95217.16638873662,95217.16638873662,0.0,0
2020-04-14,95217.16638873662,95217.16638873662,0.0,0
2020-04-15,95217.16638873662,95217.16638873662,0.0,0
2020-04-16,95217.16638873662,95217.16638873662,0.0,0
2020-04-17,95217.16638873662,95217.16638873662,0.0,0
2020-04-20,95217.16638873662,95217.16638873662,0.0,0
2020-04-21,95217.16638873662,95217.16638873662,0.0,0
