ticker,entry_date,exit_date,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
AAPL,2020-02-03,2020-03-02,77.16500091552734,74.70249938964844,-3.191215572685102,-3.671215572685102,market_filter_failed
AMD,2020-02-03,2020-03-02,48.02000045776367,47.459999084472656,-1.1661836067318854,-1.6461836067318854,market_filter_failed
ARES,2020-02-03,2020-03-02,37.310001373291016,36.5,-2.171003332824506,-2.651003332824506,market_filter_failed
BLDR,2020-02-03,2020-03-02,24.649999618530277,24.170000076293945,-1.9472598363672988,-2.427259836367299,market_filter_failed
CPRT,2020-02-03,2020-03-02,25.200000762939453,21.67250061035156,-13.998016054728202,-14.478016054728203,market_filter_failed
CVNA,2020-02-03,2020-03-02,86.25,82.36000061035156,-4.510144219882251,-4.99014421988225,market_filter_failed
FICO,2020-02-03,2020-03-02,415.8299865722656,387.05999755859375,-6.918690316402188,-7.398690316402188,market_filter_failed
GNRC,2020-02-03,2020-03-02,103.73999786376952,108.91000366210938,4.983618570273229,4.503618570273229,market_filter_failed
GPN,2020-02-03,2020-03-02,198.05999755859372,192.38999938964844,-2.862767968715074,-3.342767968715074,market_filter_failed
PODD,2020-02-03,2020-03-02,194.83999633789065,181.50999450683597,-6.8415120517339005,-7.321512051733901,market_filter_failed
QCOM,2020-02-03,2020-03-02,86.4800033569336,80.55999755859375,-6.845519852613657,-7.325519852613658,market_filter_failed
SMCI,2020-02-03,2020-03-02,2.865999937057495,2.615000009536743,-8.75784832634896,-9.23784832634896,market_filter_failed
TER,2020-02-03,2020-03-02,67.80000305175781,60.4900016784668,-10.781712454659676,-11.261712454659676,market_filter_failed
TSLA,2020-02-03,2020-03-02,52.0,49.574668884277344,-4.664098299466646,-5.144098299466647,market_filter_failed
TTD,2020-02-03,2020-03-02,27.402000427246094,28.81100082397461,5.141961808479989,4.6619618084799885,market_filter_failed
EQIX,2020-04-27,2020-06-01,702.0,710.1699829101562,1.1638152293669934,0.6838152293669935,left_top_n
HUM,2020-04-27,2020-06-01,373.5199890136719,401.5,7.4909005700640074,7.010900570064008,left_top_n
LDOS,2020-04-27,2020-06-01,102.8000030517578,105.9800033569336,3.093385419040051,2.613385419040051,left_top_n
NEM,2020-04-27,2020-06-01,62.61000061035156,60.4900016784668,-3.3860388296087285,-3.8660388296087285,left_top_n
PODD,2020-04-27,2020-06-01,198.91000366210935,188.77999877929688,-5.092757878593391,-5.572757878593391,left_top_n
SBAC,2020-04-27,2020-06-01,308.79998779296875,317.67999267578125,2.8756493632914326,2.3956493632914326,left_top_n
VRTX,2020-04-27,2020-06-01,268.510009765625,286.6400146484375,6.752077845677973,6.272077845677973,left_top_n
DVA,2020-06-01,2020-06-29,80.33999633789062,77.20999908447266,-3.8959390043459274,-4.375939004345927,left_top_n
LITE,2020-06-01,2020-06-29,74.30999755859375,78.41000366210938,5.517435389878389,5.0374353898783895,left_top_n
LULU,2020-06-01,2020-06-29,308.69000244140625,294.3500061035156,-4.645435946897103,-5.1254359468971025,left_top_n
FTNT,2020-06-01,2020-08-03,28.950000762939453,27.643999099731445,-4.511231878376654,-4.991231878376654,left_top_n
MPWR,2020-06-01,2020-08-03,213.38999938964844,268.44000244140625,25.79783645401157,25.31783645401157,left_top_n
ODFL,2020-06-01,2020-08-03,84.0,91.20999908447266,8.583332243419829,8.103332243419828,left_top_n
TER,2020-06-29,2020-08-03,82.83000183105469,90.26000213623048,8.970180056654463,8.490180056654463,left_top_n
TTD,2020-06-29,2020-08-03,40.6150016784668,47.53200149536133,17.030652544726532,16.550652544726532,left_top_n
WST,2020-04-27,2020-08-31,197.83999633789065,283.9599914550781,43.53012369152254,43.05012369152254,left_top_n
NEM,2020-08-03,2020-08-31,68.1500015258789,67.27999877929688,-1.2765997462988454,-1.7565997462988454,left_top_n
AMD,2020-04-27,2020-09-28,56.4900016784668,79.4800033569336,40.69747034054394,40.21747034054394,market_filter_failed
DXCM,2020-04-27,2020-09-28,83.76249694824219,100.04750061035156,19.441879427462716,18.961879427462716,market_filter_failed
GNRC,2020-04-27,2020-09-28,98.8499984741211,190.17999267578125,92.39250947036719,91.91250947036718,market_filter_failed
MRNA,2020-04-27,2020-09-28,48.04999923706055,70.55000305175781,46.82623136722801,46.346231367228015,market_filter_failed
NVDA,2020-04-27,2020-09-28,7.427000045776367,13.03499984741211,75.50827746156989,75.02827746156989,market_filter_failed
REGN,2020-04-27,2020-09-28,547.52001953125,571.9199829101562,4.456451364060787,3.9764513640607873,market_filter_failed
TSLA,2020-04-27,2020-09-28,53.25,140.39999389648438,163.66196036898475,163.18196036898476,market_filter_failed
AAPL,2020-06-01,2020-09-28,80.4625015258789,114.95999908447266,42.87400578454352,42.39400578454352,market_filter_failed
CVNA,2020-06-29,2020-09-28,120.37000274658205,218.0200042724609,81.12486441614845,80.64486441614845,market_filter_failed
LULU,2020-08-03,2020-09-28,328.5899963378906,318.7300109863281,-3.0006955359113907,-3.4806955359113907,market_filter_failed
PYPL,2020-08-03,2020-09-28,197.07000732421875,192.0200042724609,-2.5625426823319697,-3.0425426823319697,market_filter_failed
SWKS,2020-08-03,2020-09-28,147.1999969482422,143.97000122070312,-2.1942906212659596,-2.6742906212659596,market_filter_failed
XYZ,2020-08-03,2020-09-28,134.8000030517578,160.75999450683594,19.258153462437622,18.778153462437622,market_filter_failed
AMZN,2020-08-31,2020-09-28,172.54800415039062,158.70249938964844,-8.024146572379143,-8.504146572379144,market_filter_failed
TTD,2020-08-31,2020-09-28,48.130001068115234,48.76300048828125,1.3151867985005339,0.8351867985005339,market_filter_failed
FCX,2020-11-30,2020-12-28,23.38999938964844,24.6299991607666,5.301410019133823,4.821410019133824,left_top_n
