year,strategy_return_pct,spy_return_pct,excess_return_pct,winner
1999,0.0,19.380238760477518,-19.380238760477518,spy
2000,-5.726375642104287,-9.79802320584444,4.071647563740154,strategy
2001,0.0,-11.26637317670427,11.26637317670427,strategy
2002,-3.2852852346091477,-23.63022220273361,20.34493696812446,strategy
2003,-8.471797341438014,22.191719723505443,-30.663517064943456,spy
2004,-1.6042988438821237,8.66672579224328,-10.271024636125404,spy
2005,-1.8960883595846578,3.499583522588412,-5.39567188217307,spy
2006,-3.5022749838413136,11.775847299380949,-15.278122283222263,spy
2007,-2.369396354750275,3.423648414691982,-5.7930447694422575,spy
2008,0.0,-37.735456824562995,37.735456824562995,strategy
2009,-0.6618799157868338,19.879521879234098,-20.54140179502093,spy
2010,0.9037990731643797,10.959144064481974,-10.055344991317593,spy
2011,-7.631502391336998,-1.2199945017918434,-6.411507889545154,spy
2012,0.2064878132115533,11.694120519301453,-11.4876327060899,spy
2013,4.125965828929079,26.448038839187028,-22.32207301025795,spy
2014,1.364149543343074,12.366059120717686,-11.001909577374612,spy
2015,-1.2292390201780412,-0.7593815967543827,-0.46985742342365855,spy
2016,-0.047514935819370496,11.197887786494176,-11.245402722313546,spy
2017,-2.5224785827061114,18.478058445821468,-21.000537028527578,spy
2018,-11.320610812879162,-7.013428438904956,-4.3071823739742054,spy
2019,-3.566862907579804,28.651368924082753,-32.21823183166256,spy
2020,9.744288096634413,15.086037646519523,-5.34174954988511,spy
2021,-10.987118047247169,28.788736259166804,-39.775854306413976,spy
2022,2.024890982468852,-19.94515511159379,21.970046094062646,strategy
2023,1.0297801527719752,24.812244214345846,-23.78246406157387,spy
2024,-4.48760933649438,23.998735778721247,-28.486345115215627,spy
2025,5.54799256986529,16.639293552326606,-11.091300982461316,spy
2026,4.261051560266549,9.144141765739233,-4.883090205472684,spy
