2008_2009_max_dd,2008_2009_return,2025_max_dd,2025_return,cagr,calmar,cost_multiplier,dd_guard_activation_count,delayed_execution_count,execution_timing_mode,exposure_avg,final_equity,label,max_drawdown,metric_warning,notes,position_stop_count,q4_2018_max_dd,q4_2018_return,reentry_count,run_dir,run_id,scenario,slippage_multiplier,strategy_id,strict_next_close_enabled,total_return,trades,variant_kind,worst_year
-50.95650912074565,-39.32983804583065,-35.043675065114755,1.9261329596899968,19.13130964696903,0.37452243274507846,1.0,0,0,current_default,94669.96779123173,1206357.819238243,baseline,-51.08187914605078,False,,0,-43.25612089144057,-37.70363382929942,0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_baseline_original_base_20260603_230416_813210,STRICT_EXEC_baseline_original_base_20260603_230416_813210,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1,False,11963.578192382429,670,original,-44.61046179348143
-51.595352420469354,-40.28808710887857,-35.35472249423871,1.068612172081962,18.007650474340476,0.34802393457825764,2.0,0,0,current_default,77594.8240797083,930664.1441525699,baseline,-51.74256332732548,False,,0,-43.52863590973725,-38.15196612224633,0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_baseline_original_cost2_slip2_20260603_230803_859094,STRICT_EXEC_baseline_original_cost2_slip2_20260603_230803_859094,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1,False,9206.6414415257,670,original,-45.16309238169277
-50.95650912074565,-39.32983804583065,-35.043675065114755,1.9261329596899968,19.13130964696903,0.37452243274507846,1.0,0,0,strict_next_close,94669.96779123173,1206357.819238243,baseline,-51.08187914605078,False,,0,-43.25612089144057,-37.70363382929942,0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_baseline_strict_base_20260603_231044_459869,STRICT_EXEC_baseline_strict_base_20260603_231044_459869,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_STRICT_NEXT_CLOSE,True,11963.578192382429,670,strict,-44.61046179348143
-51.595352420469354,-40.28808710887857,-35.35472249423871,1.068612172081962,18.007650474340476,0.34802393457825764,2.0,0,0,strict_next_close,77594.8240797083,930664.1441525699,baseline,-51.74256332732548,False,,0,-43.52863590973725,-38.15196612224633,0,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_baseline_strict_cost2_slip2_20260603_231139_181307,STRICT_EXEC_baseline_strict_cost2_slip2_20260603_231139_181307,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_STRICT_NEXT_CLOSE,True,9206.6414415257,670,strict,-45.16309238169277
-31.86490522053781,-25.464174116082937,-25.109995735258828,-0.4512100434830635,14.037913866503926,0.43006764692413074,1.0,105,0,current_default,31548.68593465147,364689.8900365927,mejor_global,-32.64117625890698,False,,78,-24.35664130145264,-23.38672106836379,27,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_mejor_global_original_base_20260603_231225_049697,STRICT_EXEC_mejor_global_original_base_20260603_231225_049697,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,False,3546.8989003659276,5819,original,-27.63712330611773
-32.40692099753767,-26.3035040429896,-25.150608863802294,-1.126305061634858,11.50674763212356,0.34062912416191227,2.0,135,0,current_default,18784.062325531624,197258.1124134683,mejor_global,-33.78086844580566,False,,79,-24.65931184546638,-23.71759487601143,23,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_mejor_global_original_cost2_slip2_20260603_231335_118589,STRICT_EXEC_mejor_global_original_cost2_slip2_20260603_231335_118589,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,False,1872.5811241346828,6447,original,-27.986336563085125
-32.611138302860574,-26.303986435516226,-22.863000523095756,2.133757100194922,13.420618279844732,0.4090076869007691,1.0,109,210,strict_next_close,26047.228201980084,314329.8584029523,mejor_global,-32.81263093497986,False,,76,-25.395973925014246,-24.257925474775732,25,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_mejor_global_strict_base_20260603_231454_394075,STRICT_EXEC_mejor_global_strict_base_20260603_231454_394075,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_STRICT_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,True,3043.298584029523,5585,strict,-28.31504116778383
-33.48298416124269,-27.48951480526428,-23.21269237697099,1.2804940908582196,12.015899659556295,0.3568824776644556,2.0,119,220,strict_next_close,20359.27662699327,223462.09602838906,mejor_global,-33.66906590144715,False,,76,-25.684028901474797,-24.58496030880115,25,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_mejor_global_strict_cost2_slip2_20260603_231740_441117,STRICT_EXEC_mejor_global_strict_cost2_slip2_20260603_231740_441117,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_STRICT_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,True,2134.620960283891,5959,strict,-29.00921626960884
-31.547608043525532,-25.348084262166136,-24.38958934545108,0.3593143030569568,13.522211472530522,0.42613382494398067,1.0,108,0,current_default,28780.023199349795,322130.08607021975,alternativa_defensiva,-31.73231196633627,False,,103,-24.222312505152775,-23.25538262810397,26,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_alternativa_defensiva_original_base_20260603_232112_738590,STRICT_EXEC_alternativa_defensiva_original_base_20260603_232112_738590,base,1.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,False,3121.3008607021975,5847,original,-27.412162372133054
-31.81068572017136,-25.876602620071775,-24.641787789440095,-0.396807972375568,10.045066102604494,0.30734227536846664,2.0,130,0,current_default,14199.863371642079,137448.60359911583,alternativa_defensiva,-32.683645914190166,False,,105,-24.521290614541257,-23.582420652022783,22,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\STRICT_EXEC_alternativa_defensiva_original_cost2_slip2_20260603_232356_826973,STRICT_EXEC_alternativa_defensiva_original_cost2_slip2_20260603_232356_826973,cost2_slip2,2.0,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,False,1274.4860359911581,6501,original,-27.45131682900973
