approximation,avg_trade_impact_pct,avg_trade_net_pct_est,base_cagr_pct,columns_used,label,scenario,sensitive_to_costs,strategy_id,trades
False,0.0,36.5799927423618,19.13130964696903,"gross_return_pct,net_return_pct,entry_cost,exit_cost",baseline,costos_actuales,False,HYP_REFINE_AUTO002_TOPN_6_V1,670
False,0.24000000000000002,36.3399927423618,19.13130964696903,"gross_return_pct,net_return_pct,entry_cost,exit_cost",baseline,costos_x1.5,False,HYP_REFINE_AUTO002_TOPN_6_V1,670
False,0.48000000000000004,36.099992742361806,19.13130964696903,"gross_return_pct,net_return_pct,entry_cost,exit_cost",baseline,costos_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1,670
True,0.12000000000000001,36.459992742361806,19.13130964696903,"gross_return_pct,net_return_pct,entry_cost,exit_cost",baseline,slippage_x1.5,False,HYP_REFINE_AUTO002_TOPN_6_V1,670
True,0.24000000000000002,36.3399927423618,19.13130964696903,"gross_return_pct,net_return_pct,entry_cost,exit_cost",baseline,slippage_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1,670
True,0.7200000000000001,35.859992742361804,19.13130964696903,"gross_return_pct,net_return_pct,entry_cost,exit_cost",baseline,costos_x2_slippage_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1,670
False,0.0,12.409353083483012,14.037913866503926,"gross_return_pct,net_return_pct,entry_cost,exit_cost",mejor_global,costos_actuales,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,5819
False,0.24,12.169353083483012,14.037913866503926,"gross_return_pct,net_return_pct,entry_cost,exit_cost",mejor_global,costos_x1.5,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,5819
False,0.48,11.929353083483011,14.037913866503926,"gross_return_pct,net_return_pct,entry_cost,exit_cost",mejor_global,costos_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,5819
True,0.12,12.289353083483013,14.037913866503926,"gross_return_pct,net_return_pct,entry_cost,exit_cost",mejor_global,slippage_x1.5,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,5819
True,0.24,12.169353083483012,14.037913866503926,"gross_return_pct,net_return_pct,entry_cost,exit_cost",mejor_global,slippage_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,5819
True,0.72,11.689353083483011,14.037913866503926,"gross_return_pct,net_return_pct,entry_cost,exit_cost",mejor_global,costos_x2_slippage_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD8_SL20,5819
False,0.0,12.90609073874356,13.522211472530522,"gross_return_pct,net_return_pct,entry_cost,exit_cost",alternativa_defensiva,costos_actuales,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,5847
False,0.24,12.66609073874356,13.522211472530522,"gross_return_pct,net_return_pct,entry_cost,exit_cost",alternativa_defensiva,costos_x1.5,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,5847
False,0.48,12.426090738743559,13.522211472530522,"gross_return_pct,net_return_pct,entry_cost,exit_cost",alternativa_defensiva,costos_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,5847
True,0.12,12.78609073874356,13.522211472530522,"gross_return_pct,net_return_pct,entry_cost,exit_cost",alternativa_defensiva,slippage_x1.5,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,5847
True,0.24,12.66609073874356,13.522211472530522,"gross_return_pct,net_return_pct,entry_cost,exit_cost",alternativa_defensiva,slippage_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,5847
True,0.72,12.186090738743559,13.522211472530522,"gross_return_pct,net_return_pct,entry_cost,exit_cost",alternativa_defensiva,costos_x2_slippage_x2,False,HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONG_R12_C22_E75_CR40_REDD_RECOVERED_DD7_SL18,5847
