ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;gross_return_pct;net_return_pct
AAPL;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;8;85,86956631300768;8,618810206466348;77,16500091552734;74,70249938964844;665,0704974727321;643,8466641880481;1,5961691939345568;1,5452319940513153;-3,191215572685102;-3,671215572685102
AMD;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;6;91,75846414157368;13,84986445507637;48,02000045776367;47,459999084472656;665,0704974727321;657,3145543579949;1,5961691939345568;1,5775549304591876;-1,1661836067318854;-1,6461836067318854
ARES;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;13;73,36539757675015;17,8255286248484;37,310001373291016;36,5;665,0704974727321;650,6317948069666;1,5961691939345568;1,5615163075367195;-2,171003332824506;-2,651003332824506
BLDR;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;7;86,32605901731998;26,980547982352707;24,649999618530277;24,170000076293945;665,0704974727321;652,1198467919174;1,5961691939345568;1,5650876323006018;-1,9472598363672988;-2,427259836367299
CPRT;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;4;99,25373671036436;26,391685608629917;25,200000762939453;21,67250061035156;665,0704974727321;571,9738224612383;1,5961691939345568;1,3727371739069718;-13,998016054728202;-14,478016054728203
CVNA;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;2;124,63152704672352;7,710962289538923;86,25;82,36000061035156;665,0704974727321;635,0748588728236;1,5961691939345568;1,5241796612947764;-4,510144219882251;-4,99014421988225
FICO;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;12;76,08858017401738;1,599380802127775;415,8299865722656;387,05999755859375;665,0704974727321;619,0563293668382;1,5961691939345568;1,4857351904804115;-6,918690316402188;-7,398690316402188
GNRC;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;5;95,52660859369652;6,410936101484183;103,73999786376952;108,91000366210938;665,0704974727321;698,2150742901916;1,5961691939345568;1,6757161782964598;4,983618570273229;4,503618570273229
GPN;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;15;71,80906582103074;3,3579243949853064;198,05999755859372;192,38999938964844;665,0704974727321;646,0310723017087;1,5961691939345568;1,5504745735241008;-2,862767968715074;-3,342767968715074
PODD;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;1;135,11449915931522;3,413418753710967;194,83999633789065;181,50999450683597;665,0704974727321;619,5696192356085;1,5961691939345568;1,4869670861654603;-6,8415120517339005;-7,321512051733901
QCOM;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;14;71,96129108854126;7,690454112585434;86,4800033569336;80,55999755859375;665,0704974727321;619,5429645343598;1,5961691939345568;1,4869031148824634;-6,845519852613657;-7,325519852613658
SMCI;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;10;83,22411283604363;232,05530777350816;2,865999937057495;2,615000009536743;665,0704974727321;606,8246320407757;1,5961691939345568;1,4563791168978615;-8,75784832634896;-9,23784832634896
TER;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;11;79,51578040501171;9,809298931226069;67,80000305175781;60,4900016784668;665,0704974727321;593,3645088144475;1,5961691939345568;1,4240748211546739;-10,781712454659676;-11,261712454659676
TSLA;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;3;108,37578453392568;12,789817259091002;52,0;49,574668884277344;665,0704974727321;634,050955709852;1,5961691939345568;1,5217222937036448;-4,664098299466646;-5,144098299466647
TTD;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;9;85,30909558835356;24,27087391807518;27,402000427246094;28,81100082397461;665,0704974727321;699,2681684522478;1,5961691939345568;1,6782436042853945;5,141961808479989;4,6619618084799885
EQIX;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;14;51,219510880774855;0,9022953025318606;702,0;710,1699829101562;633,4113023773662;640,7830395789657;1,5201871257056787;1,5378792949895175;1,1638152293669934;0,6838152293669935
HUM;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;15;43,05813811546149;1,695789572199258;373,5199890136719;401,5;633,4113023773662;680,859513238002;1,5201871257056787;1,6340628317712047;7,4909005700640074;7,010900570064008
LDOS;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;12;53,19307629325396;6,161588361611779;102,8000030517578;105,9800033569336;633,4113023773662;653,0051552476593;1,5201871257056787;1,5672123725943823;3,093385419040051;2,613385419040051
