run_id,strategy_id,family,parent_run_id,parent_strategy_id,support_status,support_issue,engine_translation_note,status,decision_reason,candidate_cagr,candidate_max_drawdown_pct,candidate_years_won_vs_spy,candidate_months_won_vs_spy,candidate_trades,candidate_calmar_ratio,parent_cagr,parent_max_drawdown_pct,parent_years_won_vs_spy,parent_months_won_vs_spy,parent_trades,parent_calmar_ratio,cagr_delta_vs_parent,dd_delta_vs_parent,years_won_delta_vs_parent,months_won_delta_vs_parent,trades_delta_vs_parent,accepted_rule,rejection_reason,candidate_summary_path,candidate_audit_status,candidate_rejection_reason,effect_signature,effective_config_audit_path
HYP_DD20_CTRL_SPY_FALLBACK_25_V1,HYP_DD20_CTRL_SPY_FALLBACK_25_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,,,,,,,,,,,,,,,,,,,,,,a468e585bc212d8a17f901393ad77ad2ae6911df3a130c9224d34e7853e3706e,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260530_063731\effective_config_audits\HYP_DD20_CTRL_SPY_FALLBACK_25_V1\effective_config_audit.json
HYP_DD20_CTRL_SPY_FALLBACK_50_V1,HYP_DD20_CTRL_SPY_FALLBACK_50_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,,,,,,,,,,,,,,,,,,,,,,a468e585bc212d8a17f901393ad77ad2ae6911df3a130c9224d34e7853e3706e,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260530_063731\effective_config_audits\HYP_DD20_CTRL_SPY_FALLBACK_50_V1\effective_config_audit.json
HYP_DD20_CTRL_SPY_FALLBACK_75_V1,HYP_DD20_CTRL_SPY_FALLBACK_75_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,,,,,,,,,,,,,,,,,,,,,,a468e585bc212d8a17f901393ad77ad2ae6911df3a130c9224d34e7853e3706e,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260530_063731\effective_config_audits\HYP_DD20_CTRL_SPY_FALLBACK_75_V1\effective_config_audit.json
