year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;20,876380456281574;-9,79802320584444;30,674403662126014;strategy
2001;0,0;-11,26637317670427;11,26637317670427;strategy
2002;-1,2149363905511024;-23,63022220273361;22,415285812182507;strategy
2003;53,52272315386979;22,191719723505443;31,331003430364348;strategy
2004;2,9859198492961037;8,66672579224328;-5,680805942947177;spy
2005;22,73716569468178;3,499583522588412;19,23758217209337;strategy
2006;10,150864654264069;11,775847299380949;-1,62498264511688;spy
2007;30,385764146084536;3,423648414691982;26,962115731392554;strategy
2008;-8,733422672594182;-37,735456824562995;29,002034151968815;strategy
2009;9,249989691708782;19,879521879234098;-10,629532187525315;spy
2010;18,07928526491118;10,959144064481974;7,120141200429208;strategy
2011;1,4411677853363392;-1,2199945017918434;2,6611622871281826;strategy
2012;10,908247618301758;11,694120519301453;-0,7858729009996956;spy
2013;26,378323356375134;26,448038839187028;-0,06971548281189399;spy
2014;18,23389052027027;12,366059120717686;5,867831399552582;strategy
2015;0,2925221143255996;-0,7593815967543827;1,0519037110799823;strategy
2016;14,945703553669553;11,197887786494176;3,7478157671753767;strategy
2017;19,51338762718242;18,478058445821468;1,0353291813609538;strategy
2018;-9,142255401917755;-7,013428438904956;-2,1288269630127985;spy
2019;0,0;28,651368924082753;-28,651368924082753;spy
2020;0,0;15,086037646519523;-15,086037646519523;spy
2021;0,0;28,788736259166804;-28,788736259166804;spy
2022;0,0;-19,94515511159379;19,94515511159379;strategy
2023;0,0;24,812244214345846;-24,812244214345846;spy
2024;0,0;23,998735778721247;-23,998735778721247;spy
2025;0,0;16,639293552326606;-16,639293552326606;spy
2026;0,0;9,144141765739233;-9,144141765739233;spy
