ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct;execution_timing_mode;signal_detected_date;delayed_execution_days
ADBE;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;left_exit_rank_threshold;16;44,86198357601319;34,904202797606764;16,8125;16,0;586,8269095347637;558,4672447617082;1,4083845828834327;1,3403213874280997;16,8125;-4,832713754646845;-4,832713754646845;-5,312713754646845;;;
CCI;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;left_exit_rank_threshold;15;50,19828502732495;18,94382879812793;30,97720718383789;29,15858459472656;586,8269095347637;552,3752345582304;1,4083845828834327;1,325700562939753;30,97720718383789;-5,870841029401075;-5,870841029401075;-6,350841029401074;;;
AAPL;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;7;67,06324424983319;14,583939572296805;0,872767984867096;0,928013026714325;12,72839555193698;13,534085903905975;0,030548149324648752;0,032481806169374336;0,872767984867096;6,329865761017994;6,329865761017994;5,849865761017995;;;
AMAT;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;14;53,95765420767796;0,5038201242421465;31,59375;33,78125;15,917567050275316;17,019673572055012;0,038202160920660755;0,04084721657293203;31,59375;6,923837784371911;6,923837784371911;6,443837784371912;;;
AMD;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;11;61,693476050947794;2,228444246106858;17,5;19,5;38,99777430687002;43,454662799083735;0,09359465833648804;0,10429119071780095;17,5;11,428571428571432;11,428571428571432;10,948571428571432;;;
GLW;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;8;66,32741620129461;0,3271805360297687;39,33333206176758;41,83333206176758;12,869100667806004;13,687052007880425;0,030885841602734405;0,032848924818913015;39,33333206176758;6,355932408864051;6,355932408864051;5,875932408864051;;;
REGN;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;10;63,06961667483322;4,562693155816927;14,5;17,0;66,15905075934543;77,56578364888776;0,15878172182242903;0,1861578807573306;14,5;17,24137931034482;17,24137931034482;16,761379310344818;;;
SWKS;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;17;40,0247164054712;5,12689065727378;28,546875;39,5625;146,35670673186243;202,83261162839392;0,3512560961564698;0,48679826790814534;28,546875;38,58784893267653;38,58784893267653;38,10784893267653;;;
TECH;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;9;64,8920820869429;7,036943489442099;7,367187976837158;8,40625;51,84248546910035;59,15430620812265;0,12442196512584083;0,14197033489949434;7,367187976837158;14,10391626261891;14,10391626261891;13,62391626261891;;;
TER;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;12;60,61027292761485;0,7148500593681533;61,9375;69,6875;44,276025552114994;49,81611351221818;0,10626246132507598;0,11955867242932362;61,9375;12,51261352169526;12,51261352169526;12,032613521695259;;;
VRSN;2000-01-07;2000-01-10;2000-01-18;8;enter_or_hold;rebalance_trim;1;213,61351252372128;0,1281204161726638;181,75;196,875;23,285885639381643;25,22370693399318;0,05588612553451594;0,06053689664158363;181,75;8,321870701513067;8,321870701513067;7,841870701513066;;;
AAPL;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;7;67,06324424983319;56,00832177900038;0,872767984867096;0,9486610293388368;48,88227013484605;53,132912190407296;0,11731744832363052;0,1275189892569775;0,872767984867096;8,695672365124363;8,695672365124363;8,215672365124362;;;
AMAT;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;14;53,95765420767796;1,8173053768634897;31,59375;35,125;57,41549175028087;63,832851362330075;0,1377971802006741;0,15319884326959216;31,59375;11,177052423343214;11,177052423343214;10,697052423343214;;;
APH;2000-01-14;2000-01-18;2000-01-24;6;enter_or_hold;rebalance_trim;13;64,71921130862133;0,9201931894043613;1,230468988418579;1,15625;1,1322691829160505;1,0639733752487928;0,002717446038998521;0,0025535361005971026;1,230468988418579;-6,031764239256987;-6,031764239256987;-6,511764239256987;;;
BIIB;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;2;149,88558491214167;4,623764111991403;39,259964934319996;45,77083206176758;181,52881690134976;211,6335306631864;0,4356691605632394;0,5079204735916474;39,83333206176758;14,90585821641286;16,583986099681812;16,103986099681812;;;
COHR;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;15;59,5580104708211;54,68216905728922;2,956755213666673;3,3125;161,68178845474233;181,13468500227054;0,38803629229138153;0,43472324400544926;3,0;10,416666666666675;12,031594116719857;11,551594116719857;;;
CSCO;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;16;58,64422403630532;0,4298311712721456;54,927427597099644;54,53125;23,609520539027315;23,43923105843419;0,05666284929366555;0,056254154540242046;54,90625;-0,6829823562891302;-0,7212746244110724;-1,2012746244110724;;;
CTSH;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;3;134,33909106498723;47,567710241223935;1,9410442366424634;1,828125;92,33102981400641;86,9597202847375;0,22159447155361536;0,20870332868337;1,996093988418579;-8,414883737596634;-5,817447872171444;-6,297447872171444;;;
GEN;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;11;67,90198065117849;11,014504564833603;7,075684224591742;7,304687976837158;77,93515619108686;80,45751906555802;0,18704437485860845;0,19309804575733922;7,09375;2,973575003871831;3,2364891503991577;2,7564891503991578;;;
GLW;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;8;66,32741620129461;3,5427162792181637;39,33333206176758;51,66666793823242;139,34683581111773;183,04034559773515;0,3344324059466825;0,43929682943456433;39,33333206176758;31,355939682651446;31,355939682651446;30,875939682651445;;;
MSI;2000-01-14;2000-01-18;2000-01-24;6;enter_or_hold;rebalance_trim;14;61,04292974767853;0,10539472671147787;173,66580200195312;167,93724060058594;18,303459741125476;17,69969957777846;0,043928303378701135;0,042479278986668305;173,66580200195312;-3,298612239905907;-3,298612239905907;-3,778612239905907;;;
SWKS;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;17;40,0247164054712;2,5691788317245425;28,546875;44,390625;73,34202696188655;114,04745407702227;0,17602086470852768;0,2737138897848534;28,546875;55,500821018062396;55,500821018062396;55,0208210180624;;;
TECH;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;9;64,8920820869429;5,019059358522671;7,367187976837158;8,445313453674316;36,97635376114023;42,3875295253215;0,08874324902673654;0,10173007086077158;7,367187976837158;14,634151866720968;14,634151866720968;14,154151866720968;;;
TER;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;12;60,61027292761485;0,7542195900015994;61,9375;71,3125;46,71447585572407;53,78528451198906;0,11211474205373775;0,12908468282877375;61,9375;15,136226034308775;15,136226034308775;14,656226034308775;;;
TRMB;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;8;78,9341166596727;17,117559002856193;4,087400598905446;4,1041669845581055;69,96632092007371;70,25332051574776;0,16791917020817693;0,1686079692377946;4,1041669845581055;0,0;0,4101967802507378;-0,06980321974926218;;;
VRSN;2000-01-07;2000-01-10;2000-01-24;14;enter_or_hold;rebalance_trim;1;213,61351252372128;0,1870188359037301;181,75;195,9375;33,990673425502955;36,64400315988712;0,08157761622120707;0,08794560758372907;181,75;7,806052269601094;7,806052269601094;7,326052269601094;;;
MSI;2000-01-14;2000-01-18;2000-01-31;13;enter_or_hold;left_exit_rank_threshold;14;61,04292974767853;3,399408764725302;173,66580200195312;164,0177001953125;590,3610494584883;557,5632076140322;1,4168665187003717;1,3381516982736772;173,66580200195312;-5,555556531810513;-5,555556531810513;-6,0355565318105135;;;
AAPL;2000-01-07;2000-01-10;2000-01-31;21;enter_or_hold;rebalance_trim;7;67,06324424983319;40,176033076330995;0,872767984867096;0,9263389706611632;35,0643554279832;37,2166251251773;0,08415445302715968;0,08931990030042551;0,872767984867096;6,138055786066099;6,138055786066099;5,6580557860660985;;;
AMAT;2000-01-07;2000-01-10;2000-01-31;21;enter_or_hold;rebalance_trim;14;53,95765420767796;1,0912659847266122;31,59375;34,3125;34,4771847049564;37,44406410093188;0,08274524329189538;0,08986575384223651;31,59375;8,605341246290799;8,605341246290799;8,125341246290798;;;
AMD;2000-01-07;2000-01-10;2000-01-31;21;enter_or_hold;rebalance_trim;9;82,44557665585921;4,176259570284774;17,486593716240716;18,0;73,02855435913189;75,17267226512593;0,17526853046191654;0,1804144134363022;17,5;2,857142857142847;2,935999383816279;2,455999383816279;;;
APH;2000-01-14;2000-01-18;2000-01-31;13;enter_or_hold;rebalance_trim;13;64,71921130862133;3,2032558006708323;1,230468988418579;1,0605469942092896;3,941506924697385;3,3972033110849225;0,009459616619273723;0,008153287946603813;1,230468988418579;-13,809530821876004;-13,809530821876004;-14,289530821876005;;;
BIIB;2000-01-07;2000-01-10;2000-01-31;21;enter_or_hold;rebalance_trim;2;149,88558491214167;0,10452565592759278;39,259964934319996;42,0625;4,103673586454089;4,396610402454371;0,009848816607489813;0,01055186496589049;39,83333206176758;5,596237680482674;7,138404403489673;6,658404403489673;;;
