year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
2020;55,45495320267078;15,0860376465195;40,36891555615128;strategy
2021;6,075931034436199;28,788736259166804;-22,712805224730605;spy
2022;-11,525101556788808;-19,945155111593806;8,420053554804998;strategy
2023;65,70472617981409;24,812244214345846;40,89248196546824;strategy
2024;98,65337814746682;23,998735778721226;74,6546423687456;strategy
2025;71,75638635040346;16,639293552326627;55,11709279807683;strategy
2026;40,939793387826896;-7,4944762632764395;48,434269651103335;strategy
