batch_id,strategy_id,status,run_id,started_at,finished_at,exit_code,log_path
"FULL_HISTORY_RETEST_20260524_ALL","HYP_MIX_CAN_SLIM__LOCAL_DISTANCE_HIGH_52W_BREAKOUT_V1","ok","RETEST_HYP_MIX_CAN_SLIM__LOCAL_DISTANCE_HIGH_52W_BREAKOUT_V1_1999_2026_20260524_181818","2026-05-24T18:18:18.7853769-03:00","2026-05-24T18:22:30.4979835-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_MIX_CAN_SLIM__LOCAL_DISTANCE_HIGH_52W_BREAKOUT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_AUTO_LOCAL_STOCHASTIC_CONFIRMATION_SEED","ok","RETEST_HYP_AUTO_LOCAL_STOCHASTIC_CONFIRMATION_SEED_1999_2026_20260524_182230","2026-05-24T18:22:30.5134317-03:00","2026-05-24T18:26:25.0586048-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_AUTO_LOCAL_STOCHASTIC_CONFIRMATION_SEED.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REFINE_AUTO002_TOPN_10_V1","ok","RETEST_HYP_REFINE_AUTO002_TOPN_10_V1_1999_2026_20260524_182625","2026-05-24T18:26:25.0692222-03:00","2026-05-24T18:30:13.6431815-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REFINE_AUTO002_TOPN_10_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REFINE_AUTO002_TOPN_6_V1","ok","RETEST_HYP_REFINE_AUTO002_TOPN_6_V1_1999_2026_20260524_183013","2026-05-24T18:30:13.6517392-03:00","2026-05-24T18:34:00.1767586-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REFINE_AUTO002_TOPN_6_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REFINE_AUTO002_EXIT_18_V1","ok","RETEST_HYP_REFINE_AUTO002_EXIT_18_V1_1999_2026_20260524_183400","2026-05-24T18:34:00.1842854-03:00","2026-05-24T18:37:54.6810132-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REFINE_AUTO002_EXIT_18_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REFINE_AUTO002_EXIT_24_V1","ok","RETEST_HYP_REFINE_AUTO002_EXIT_24_V1_1999_2026_20260524_183754","2026-05-24T18:37:54.6973826-03:00","2026-05-24T18:41:47.2561922-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REFINE_AUTO002_EXIT_24_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REFINE_AUTO002_TRAILING_22_V1","ok","RETEST_HYP_REFINE_AUTO002_TRAILING_22_V1_1999_2026_20260524_184147","2026-05-24T18:41:47.2639329-03:00","2026-05-24T18:45:36.8226572-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REFINE_AUTO002_TRAILING_22_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_AUTOREFINE_AUTO_002_TRAILING_14_V1","ok","RETEST_HYP_AUTOREFINE_AUTO_002_TRAILING_14_V1_1999_2026_20260524_184536","2026-05-24T18:45:36.8294805-03:00","2026-05-24T18:49:23.3882603-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_AUTOREFINE_AUTO_002_TRAILING_14_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_TRAILING_18_V1","ok","RETEST_HYP_REVIEW_EXP_044_TRAILING_18_V1_1999_2026_20260524_184923","2026-05-24T18:49:23.3956568-03:00","2026-05-24T18:53:08.8208081-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_TRAILING_18_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_EXIT_16_V1","ok","RETEST_HYP_REVIEW_EXP_044_EXIT_16_V1_1999_2026_20260524_185308","2026-05-24T18:53:08.8298304-03:00","2026-05-24T18:57:00.3638987-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_EXIT_16_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_TRAILING_22_V1","ok","RETEST_HYP_REVIEW_EXP_044_TRAILING_22_V1_1999_2026_20260524_185700","2026-05-24T18:57:00.3746124-03:00","2026-05-24T19:00:47.9433783-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_TRAILING_22_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_TOPN_5_V1","ok","RETEST_HYP_REVIEW_EXP_044_TOPN_5_V1_1999_2026_20260524_190047","2026-05-24T19:00:47.9504521-03:00","2026-05-24T19:04:37.5069088-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_TOPN_5_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_TOPN_7_V1","ok","RETEST_HYP_REVIEW_EXP_044_TOPN_7_V1_1999_2026_20260524_190437","2026-05-24T19:04:37.5141580-03:00","2026-05-24T19:08:50.2876505-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_TOPN_7_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_TOPN_8_V1","ok","RETEST_HYP_REVIEW_EXP_044_TOPN_8_V1_1999_2026_20260524_190850","2026-05-24T19:08:50.3002964-03:00","2026-05-24T19:12:41.8794990-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_TOPN_8_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_044_TOPN_9_V1","ok","RETEST_HYP_REVIEW_EXP_044_TOPN_9_V1_1999_2026_20260524_191241","2026-05-24T19:12:41.8899095-03:00","2026-05-24T19:16:31.3151271-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_044_TOPN_9_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_052_TOPN_5_V1","ok","RETEST_HYP_REVIEW_EXP_052_TOPN_5_V1_1999_2026_20260524_191631","2026-05-24T19:16:31.3241958-03:00","2026-05-24T19:20:19.8515085-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_052_TOPN_5_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_LIT_AUTO_002_SPY_REGIME_RELAXED_V1","ok","RETEST_HYP_LIT_AUTO_002_SPY_REGIME_RELAXED_V1_1999_2026_20260524_192019","2026-05-24T19:20:19.8583517-03:00","2026-05-24T19:24:12.2604680-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_LIT_AUTO_002_SPY_REGIME_RELAXED_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_LIT_AUTO_002_PAPER_LOW_VOLATILITY_ANOMALY_AND_MOMENTUM_CRASH_CO_VOL_FILTER_V1","ok","RETEST_HYP_LIT_AUTO_002_PAPER_LOW_VOLATILITY_ANOMALY_AND_MOMENTUM_CRASH_CO_VOL_FILTER_V1_1999_2026_20260524_192412","2026-05-24T19:24:12.2696803-03:00","2026-05-24T19:28:01.7974659-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_LIT_AUTO_002_PAPER_LOW_VOLATILITY_ANOMALY_AND_MOMENTUM_CRASH_CO_VOL_FILTER_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_LIT_AUTO_002_PAPER_QUALITY_MOMENTUM_AND_TREND_STABILITY_QUALITY_R2_V1","ok","RETEST_HYP_LIT_AUTO_002_PAPER_QUALITY_MOMENTUM_AND_TREND_STABILITY_QUALITY_R2_V1_1999_2026_20260524_192801","2026-05-24T19:28:01.8053655-03:00","2026-05-24T19:31:55.4529648-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_LIT_AUTO_002_PAPER_QUALITY_MOMENTUM_AND_TREND_STABILITY_QUALITY_R2_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_LIT_AUTO_002_PAPER_TIME_SERIES_MOMENTUM_RET52_V1","ok","RETEST_HYP_LIT_AUTO_002_PAPER_TIME_SERIES_MOMENTUM_RET52_V1_1999_2026_20260524_193155","2026-05-24T19:31:55.4592577-03:00","2026-05-24T19:35:45.0145566-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_LIT_AUTO_002_PAPER_TIME_SERIES_MOMENTUM_RET52_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_LIT_AUTO_002_SMA20_TREND_FAST_CONFIRM_V1","ok","RETEST_HYP_LIT_AUTO_002_SMA20_TREND_FAST_CONFIRM_V1_1999_2026_20260524_193545","2026-05-24T19:35:45.0215952-03:00","2026-05-24T19:39:44.5802386-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_LIT_AUTO_002_SMA20_TREND_FAST_CONFIRM_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_LIT_AUTO_002_TSMOM_RET26_CONFIRM_V1","ok","RETEST_HYP_LIT_AUTO_002_TSMOM_RET26_CONFIRM_V1_1999_2026_20260524_193944","2026-05-24T19:39:44.5972977-03:00","2026-05-24T19:43:40.1976196-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_LIT_AUTO_002_TSMOM_RET26_CONFIRM_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_052_EXIT_16_V1","ok","RETEST_HYP_REVIEW_EXP_052_EXIT_16_V1_1999_2026_20260524_194340","2026-05-24T19:43:40.2133181-03:00","2026-05-24T19:47:30.8571420-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_052_EXIT_16_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_REVIEW_EXP_052_EXIT_18_V1","ok","RETEST_HYP_REVIEW_EXP_052_EXIT_18_V1_1999_2026_20260524_194730","2026-05-24T19:47:30.8664054-03:00","2026-05-24T19:51:21.4137839-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_REVIEW_EXP_052_EXIT_18_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_V1_1999_2026_20260524_195121","2026-05-24T19:51:21.4227053-03:00","2026-05-24T19:55:11.9956138-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CLOSE_SMA_50_SLOPE_5D_PCT_V1","failed","RETEST_HYP_FSPACE_AUTO_002_RANK_CLOSE_SMA_50_SLOPE_5D_PCT_V1_1999_2026_20260524_195512","2026-05-24T19:55:12.0084275-03:00","2026-05-24T19:58:37.2247907-03:00","1","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CLOSE_SMA_50_SLOPE_5D_PCT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_DISTANCE_TO_CHANNEL_LOWER_PCT_V1","failed","RETEST_HYP_FSPACE_AUTO_002_RANK_DISTANCE_TO_CHANNEL_LOWER_PCT_V1_1999_2026_20260524_195837","2026-05-24T19:58:37.2398721-03:00","2026-05-24T20:02:03.5591428-03:00","1","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_DISTANCE_TO_CHANNEL_LOWER_PCT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_V1_1999_2026_20260524_200203","2026-05-24T20:02:03.5731890-03:00","2026-05-24T20:05:52.1743858-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_V1_1999_2026_20260524_200552","2026-05-24T20:05:52.1854401-03:00","2026-05-24T20:09:44.6966583-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CLOSE_VS_SMA20W_PCT_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CLOSE_VS_SMA20W_PCT_V1_1999_2026_20260524_200944","2026-05-24T20:09:44.7053392-03:00","2026-05-24T20:13:33.2826572-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CLOSE_VS_SMA20W_PCT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_RET_52W_PCT_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_RET_52W_PCT_V1_1999_2026_20260524_201333","2026-05-24T20:13:33.2930215-03:00","2026-05-24T20:17:22.7835617-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_RET_52W_PCT_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_CHANNEL_SLOPE_POS_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_CHANNEL_SLOPE_POS_V1_1999_2026_20260524_201722","2026-05-24T20:17:22.7903589-03:00","2026-05-24T20:21:14.2608666-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_CHANNEL_SLOPE_POS_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA20_POS_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA20_POS_V1_1999_2026_20260524_202114","2026-05-24T20:21:14.2674093-03:00","2026-05-24T20:27:22.0174919-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA20_POS_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA50_SLOPE_POS_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA50_SLOPE_POS_V1_1999_2026_20260524_202722","2026-05-24T20:27:22.0413758-03:00","2026-05-24T20:33:54.1407131-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA50_SLOPE_POS_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA52_POS_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA52_POS_V1_1999_2026_20260524_203354","2026-05-24T20:33:54.1723164-03:00","2026-05-24T20:40:11.7203084-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_R2_CONF_SMA52_POS_V1.log"
"FULL_HISTORY_RETEST_20260524_ALL","HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_CHANNEL_R2_035_V1","ok","RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_CHANNEL_R2_035_V1_1999_2026_20260524_204011","2026-05-24T20:40:11.7553034-03:00","2026-05-24T20:46:12.4593833-03:00","0","C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\batches\FULL_HISTORY_RETEST_20260524_ALL\HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_CHANNEL_R2_035_V1.log"
