ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;gross_return_pct;net_return_pct
AAPL;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;8;85,86956631300768;86,39495350961867;77,16500091552734;74,70249938964844;6666,666666666667;6453,918961820994;16,0;15,489405508370384;-3,191215572685102;-3,671215572685102
AMD;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;6;91,75846414157368;138,83104129768554;48,02000045776367;47,459999084472656;6666,666666666667;6588,921092884541;16,0;15,813410622922898;-1,1661836067318854;-1,6461836067318854
ARES;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;13;73,36539757675015;178,68309893548036;37,310001373291016;36,5;6666,666666666667;6521,933111145033;16,0;15,652639466748077;-2,171003332824506;-2,651003332824506
BLDR;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;7;86,32605901731998;270,45301297510355;24,649999618530277;24,170000076293945;6666,666666666667;6536,84934424218;16,0;15,688438426181232;-1,9472598363672988;-2,427259836367299
CPRT;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;4;99,25373671036436;264,55025654090633;25,200000762939453;21,67250061035156;6666,666666666667;5733,465596351454;16,0;13,76031743124349;-13,998016054728202;-14,478016054728203
CVNA;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;2;124,63152704672352;77,29468599033817;86,25;82,36000061035156;6666,666666666667;6365,990385341183;16,0;15,278376924818838;-4,510144219882251;-4,99014421988225
FICO;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;12;76,08858017401738;16,032193160528816;415,8299865722656;387,05999755859375;6666,666666666667;6205,420645573187;16,0;14,893009549375648;-6,918690316402188;-7,398690316402188
GNRC;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;5;95,52660859369652;64,26322348127746;103,73999786376952;108,91000366210938;6666,666666666667;6998,907904684882;16,0;16,797378971243717;4,983618570273229;4,503618570273229
GPN;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;15;71,80906582103074;33,659834135332716;198,05999755859372;192,38999938964844;6666,666666666667;6475,815468752329;16,0;15,541957125005588;-2,862767968715074;-3,342767968715074
PODD;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;1;135,11449915931522;34,21610958719874;194,83999633789065;181,50999450683597;6666,666666666667;6210,56586321774;16,0;14,905358071722574;-6,8415120517339005;-7,321512051733901
QCOM;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;14;71,96129108854126;77,0891120245564;86,4800033569336;80,55999755859375;6666,666666666667;6210,2986764924235;16,0;14,904716823581815;-6,845519852613657;-7,325519852613658
SMCI;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;10;83,22411283604363;2326,1224051216464;2,865999937057495;2,615000009536743;6666,666666666667;6082,810111576737;16,0;14,598744267784166;-8,75784832634896;-9,23784832634896
TER;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;11;79,51578040501171;98,32841248661012;67,80000305175781;60,4900016784668;6666,666666666667;5947,885836356022;16,0;14,274926007254452;-10,781712454659676;-11,261712454659676
TSLA;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;3;108,37578453392568;128,2051282051282;52,0;49,574668884277344;6666,666666666667;6355,726780035557;16,0;15,253744272085335;-4,664098299466646;-5,144098299466647
TTD;2020-01-31;2020-02-03;2020-03-02;28;enter_or_hold;market_filter_failed;9;85,30909558835356;234,55372554427797;27,402000427246094;28,81100082397461;6427,241287576468;6757,727579922507;15,42537909018352;16,218546191814017;5,141961808479989;4,6619618084799885
EQIX;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;14;51,219510880774855;9,042465943849631;702,0;710,1699829101562;6347,811092582441;6421,687884809363;15,234746622197857;15,41205092354247;1,1638152293669934;0,6838152293669935
HUM;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;15;43,05813811546149;16,994568642349403;373,5199890136719;401,5;6347,811092582441;6823,319309903285;15,234746622197857;16,37596634376788;7,4909005700640074;7,010900570064008
LDOS;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;12;53,19307629325396;61,74913330874555;102,8000030517578;105,9800033569336;6347,811092582441;6544,173355348593;15,234746622197857;15,706016052836622;3,093385419040051;2,613385419040051
NEM;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;5;100,6039492909586;101,38653618752612;62,61000061035156;60,4900016784668;6347,811092582441;6132,87174415739;15,234746622197857;14,718892185977735;-3,3860388296087285;-3,8660388296087285
PODD;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;3;139,43381699436262;31,912980622963232;198,91000366210935;188,77999877929688;6347,811092582441;6024,5324430467235;15,234746622197857;14,458877863312136;-5,092757878593391;-5,572757878593391
SBAC;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;13;52,081363408837774;20,55638388443932;308,79998779296875;317,67999267578125;6347,811092582441;6530,351881849231;15,234746622197857;15,672844516438154;2,8756493632914326;2,3956493632914326
VRTX;2020-04-24;2020-04-27;2020-06-01;35;enter_or_hold;left_top_n;11;56,12379278132624;23,640873195465865;268,510009765625;286,6400146484375;6347,811092582441;6776,420239050189;15,234746622197857;16,26340857372045;6,752077845677973;6,272077845677973
DVA;2020-05-29;2020-06-01;2020-06-29;28;enter_or_hold;left_top_n;11;86,45785927825433;84,50519966235161;80,33999633789062;77,20999908447266;6789,147431406045;6524,6463885633475;16,293953835374506;15,659151332552034;-3,8959390043459274;-4,375939004345927
LITE;2020-05-29;2020-06-01;2020-06-29;28;enter_or_hold;left_top_n;14;81,17123173526397;91,36250376071905;74,30999755859375;78,41000366210938;6789,147431406045;7163,734254457462;16,293953835374506;17,192962210697907;5,517435389878389;5,0374353898783895
LULU;2020-05-29;2020-06-01;2020-06-29;28;enter_or_hold;left_top_n;13;81,23075834312714;21,99341532835914;308,69000244140625;294,3500061035156;6789,147431406045;6473,761936139667;16,293953835374506;15,5370286467352;-4,645435946897103;-5,1254359468971025
FTNT;2020-05-29;2020-06-01;2020-08-03;63;enter_or_hold;left_top_n;9;92,05297734405129;234,51285846241566;28,950000762939453;27,643999099731445;6789,147431406045;6482,873248210466;16,293953835374506;15,558895795705117;-4,511231878376654;-4,991231878376654
