2008_2009_max_dd,2025_max_dd,cagr,calmar,max_drawdown,notes,portfolio,q4_2018_max_dd,worst_year
-31.992708897779064,-23.760234245256527,13.11423343972744,0.4090331548526261,-32.061541427986384,,A_100_best_robust,-25.270398841087783,-27.799764397632686
,,,,,'HYP_REFINE_AUTO002_TOPN_6_V1_DDGRID_LONGRUN_STRICT_STRICT_NEXT_CLOSE_R11_C22_E75_CR40_REDD_DD7_SL18',failed,,
