run_id;strategy_id;cagr;spy_cagr;max_drawdown;trades;years_wl;calmar;compared_to;cagr_delta;dd_delta;calmar_delta;years_net_delta;substantial_reason;followup_allowed
DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN8_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN8_WHEN_GUARD_V1;10,240927;6,802475;-19,325183;2393;17/11;0,529927;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,62512;0,46255;-0,019203;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_001_HYP_DD20_ADAPT_SL10_TOPN5_WHEN_GUARD_V1;HYP_DD20_ADAPT_SL10_TOPN5_WHEN_GUARD_V1;10,240538;6,802475;-19,325183;2388;17/11;0,529906;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,625509;0,46255;-0,019224;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_006_HYP_DD20_EXP_DYN8050250_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8050250_SL10_TOPN5_V1;10,17366;6,802475;-19,325183;2388;17/11;0,526446;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,692387;0,46255;-0,022684;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_006_HYP_DD20_EXP_GUARD18_14_SL10_TOPN5_V1;HYP_DD20_EXP_GUARD18_14_SL10_TOPN5_V1;10,169726;6,802475;-19,325183;2398;17/11;0,526242;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,696321;0,46255;-0,022888;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_006_HYP_DD20_EXP_GUARD19_12_SL10_TOPN5_V1;HYP_DD20_EXP_GUARD19_12_SL10_TOPN5_V1;10,169726;6,802475;-19,325183;2398;17/11;0,526242;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,696321;0,46255;-0,022888;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN5_GUARD18_12_V1;HYP_DD20_EXP_SL10_TOPN5_GUARD18_12_V1;10,169726;6,802475;-19,325183;2398;17/11;0,526242;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,696321;0,46255;-0,022888;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_005_HYP_DD20_EXP_SL10_TOPN10_GUARD18_12_V1;HYP_DD20_EXP_SL10_TOPN10_GUARD18_12_V1;10,166474;6,802475;-19,325183;2402;17/11;0,526074;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,699573;0,46255;-0,023056;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_004_HYP_DD20_EXP_SL10_TOPN8_GUARD18_12_V1;HYP_DD20_EXP_SL10_TOPN8_GUARD18_12_V1;10,166474;6,802475;-19,325183;2402;17/11;0,526074;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,699573;0,46255;-0,023056;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_006_HYP_DD20_EXP_GUARD17_10_SL10_TOPN5_V1;HYP_DD20_EXP_GUARD17_10_SL10_TOPN5_V1;10,162806;6,802475;-19,325183;2361;17/11;0,525884;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,703241;0,46255;-0,023246;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_005_HYP_DD20_EXP_SL9_TOPN5_WHEN_GUARD_V1;HYP_DD20_EXP_SL9_TOPN5_WHEN_GUARD_V1;10,15239;6,802475;-18,595661;2385;17/11;0,545955;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,713657;1,192072;-0,003175;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_005_HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1;10,020192;6,802475;-18,358442;2410;17/11;0,545808;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-0,845855;1,429291;-0,003322;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_001_HYP_DD20_ADAPT_SL10_GUARD18_12_V1;HYP_DD20_ADAPT_SL10_GUARD18_12_V1;9,680146;6,802475;-19,325183;2365;17/11;0,500908;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-1,185901;0,46255;-0,048222;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_001_HYP_DD20_ADAPT_SL10_COOLDOWN_3_V1;HYP_DD20_ADAPT_SL10_COOLDOWN_3_V1;9,675868;6,802475;-19,325183;2345;17/11;0,500687;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-1,190179;0,46255;-0,048443;4;years_net_improved_ge_2_dd20;True
DD20ADAPT_001_HYP_DD20_ADAPT_SL10_REDUCED_25_V1;HYP_DD20_ADAPT_SL10_REDUCED_25_V1;9,137432;6,802475;-19,797966;2405;16/12;0,461534;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-1,728615;-0,010233;-0,087596;2;years_net_improved_ge_2_dd20;True
DD20ADAPT_001_HYP_DD20_ADAPT_SL10_REDUCED_20_V1;HYP_DD20_ADAPT_SL10_REDUCED_20_V1;9,032974;6,802475;-20,46834;2405;16/12;0,441314;HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1;-1,833073;-0,680607;-0,107816;2;small_incremental_change;False
