run_id;strategy_id;exposure_pct;cagr;spy_cagr;excess_cagr;max_drawdown;parent_max_drawdown;drawdown_improvement_vs_parent_pct;calmar;parent_calmar;years_beating_spy;years_losing_to_spy;months_beating_spy;months_losing_to_spy;trades;decision;value_delivered
DD_FIRST_02_HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;50;13,183145;6,802475;6,38067;-31,549424;-54,644063;42,263766;0,417857;0,474512;20;8;188;141;3847;accepted_for_followup;dd_first_followup_signal
DD_FIRST_19_HYP_DD_FIRST_AUTO002_EXPOSURE_55_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_55_V1;55;14,484545;6,802475;7,682071;-34,210675;-54,644063;37,39361;0,423393;0,474512;20;8;197;132;3842;accepted_for_followup;dd_first_followup_signal
DD_FIRST_16_HYP_DD_FIRST_AUTO002_EXPOSURE_60_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_60_V1;60;15,78141;6,802475;8,978936;-36,789786;-54,644063;32,673772;0,428962;0,474512;21;7;203;126;3837;accepted_for_followup;dd_first_followup_signal
DD_FIRST_17_HYP_DD_FIRST_AUTO002_EXPOSURE_65_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_65_V1;65;17,073327;6,802475;10,270852;-39,288674;-54,644063;28,100745;0,434561;0,474512;21;7;200;129;3822;accepted_for_followup;dd_first_followup_signal
DD_FIRST_18_HYP_DD_FIRST_AUTO002_EXPOSURE_70_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_70_V1;70;18,359931;6,802475;11,557456;-41,709045;-54,644063;23,671405;0,440191;0,474512;21;7;200;129;3816;accepted_for_followup;dd_first_followup_signal
DD_FIRST_01_HYP_DD_FIRST_AUTO002_EXPOSURE_75_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_75_V1;75;19,640769;6,802475;12,838294;-44,052781;-54,644063;19,382311;0,445846;0,474512;22;6;205;124;3796;accepted_for_followup;dd_first_followup_signal
DD_FIRST_03_HYP_DD_FIRST_AUTO002_EXPOSURE_85_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_85_V1;85;22,183311;6,802475;15,380836;-48,517761;-54,644063;11,211286;0,45722;0,474512;23;5;205;124;3767;accepted_for_followup;dd_first_followup_signal
