cycle;started_at;ended_at;daemon_stop_reason;attempts_before;attempts_after;real_runs_before;real_runs_after;best_near_valid_before;best_near_valid_after;best_valid_after;expansion_done;repair_done;next_axis
11;2026-05-27T04:23:17.604685+00:00;2026-05-27T04:24:03.289065+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
12;2026-05-27T04:24:56.062117+00:00;2026-05-27T04:25:42.437704+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
13;2026-05-27T04:26:35.662268+00:00;2026-05-27T04:27:22.427938+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
14;2026-05-27T04:28:15.474604+00:00;2026-05-27T04:29:00.870254+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
15;2026-05-27T04:29:53.434371+00:00;2026-05-27T04:30:39.689297+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
16;2026-05-27T04:31:32.661718+00:00;2026-05-27T04:32:18.499588+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
17;2026-05-27T04:33:11.441318+00:00;2026-05-27T04:33:57.313709+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
18;2026-05-27T04:34:50.059792+00:00;2026-05-27T04:35:35.547250+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
19;2026-05-27T04:36:28.103149+00:00;2026-05-27T04:37:14.129453+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
20;2026-05-27T04:38:07.892060+00:00;2026-05-27T04:38:54.661933+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
