batch;run_id;strategy_id;generation_axis;cagr;spy_cagr;excess_cagr;max_drawdown;calmar;trades;years_beating_spy;years_losing_to_spy;stop_loss_pct;guard_stop;guard_resume;reduced_exposure_pct_when_active;cooldown_rebalances;allow_entries_when_active_top_n;stop_loss_exit_count;trailing_exit_count;decision;frontier_class;rejection_reason
206;DD20ADAPT_006_HYP_DD20_EXP_DYN8550200_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8550200_SL10_TOPN5_V1;trade_count_repair_around_sl10;10,546561;6,802475;3,744086;-20,424879;0,516359;2338;17;11;10;-18;-10;;;5;431;0;rejected;high_cagr_dd_breach;"insufficient_trades:2338<3000; max_drawdown_breaches_dd20:-20.424879<-20.000000"
206;DD20ADAPT_005_HYP_DD20_EXP_SL11_TOPN8_WHEN_GUARD_V1;HYP_DD20_EXP_SL11_TOPN8_WHEN_GUARD_V1;trade_count_repair_around_sl10;10,541152;6,802475;3,738677;-19,658782;0,536206;2354;16;12;11;-18;-10;;;8;367;0;rejected;valid_candidate;insufficient_trades:2354<3000
206;DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN3_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN3_WHEN_GUARD_V1;trade_count_repair_around_sl10;10,32712;6,802475;3,524646;-19,325183;0,534387;2379;17;11;10;-18;-10;;;3;428;0;rejected;valid_candidate;insufficient_trades:2379<3000
206;DD20ADAPT_005_HYP_DD20_EXP_DYN8055200_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8055200_SL10_TOPN5_V1;trade_count_repair_around_sl10;10,313057;6,802475;3,510582;-19,325183;0,533659;2366;17;11;10;-18;-10;;;5;429;0;rejected;valid_candidate;insufficient_trades:2366<3000
206;DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN10_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN10_WHEN_GUARD_V1;trade_count_repair_around_sl10;10,240927;6,802475;3,438452;-19,325183;0,529927;2393;17;11;10;-18;-10;;;10;430;0;rejected;valid_candidate;insufficient_trades:2393<3000
206;DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN8_WHEN_GUARD_V1;HYP_DD20_EXP_SL10_TOPN8_WHEN_GUARD_V1;trade_count_repair_around_sl10;10,240927;6,802475;3,438452;-19,325183;0,529927;2393;17;11;10;-18;-10;;;8;430;0;rejected;valid_candidate;insufficient_trades:2393<3000
206;DD20ADAPT_001_HYP_DD20_ADAPT_SL10_TOPN5_WHEN_GUARD_V1;HYP_DD20_ADAPT_SL10_TOPN5_WHEN_GUARD_V1;trade_count_repair_around_sl10;10,240538;6,802475;3,438063;-19,325183;0,529906;2388;17;11;10;-18;-10;;;5;430;0;rejected;valid_candidate;insufficient_trades:2388<3000
206;DD20ADAPT_006_HYP_DD20_EXP_DYN8050250_SL10_TOPN5_V1;HYP_DD20_EXP_DYN8050250_SL10_TOPN5_V1;trade_count_repair_around_sl10;10,17366;6,802475;3,371186;-19,325183;0,526446;2388;17;11;10;-18;-10;;;5;430;0;rejected;valid_candidate;insufficient_trades:2388<3000
206;DD20ADAPT_006_HYP_DD20_EXP_GUARD18_14_SL10_TOPN5_V1;HYP_DD20_EXP_GUARD18_14_SL10_TOPN5_V1;trade_count_repair_around_sl10;10,169726;6,802475;3,367252;-19,325183;0,526242;2398;17;11;10;-18;-14;;;5;430;0;rejected;valid_candidate;insufficient_trades:2398<3000
206;DD20ADAPT_006_HYP_DD20_EXP_GUARD19_12_SL10_TOPN5_V1;HYP_DD20_EXP_GUARD19_12_SL10_TOPN5_V1;trade_count_repair_around_sl10;10,169726;6,802475;3,367252;-19,325183;0,526242;2398;17;11;10;-19;-12;;;5;430;0;rejected;valid_candidate;insufficient_trades:2398<3000
206;DD20ADAPT_003_HYP_DD20_EXP_SL10_TOPN5_GUARD18_12_V1;HYP_DD20_EXP_SL10_TOPN5_GUARD18_12_V1;trade_count_repair_around_sl10;10,169726;6,802475;3,367252;-19,325183;0,526242;2398;17;11;10;-18;-12;;;5;430;0;rejected;valid_candidate;insufficient_trades:2398<3000
206;DD20ADAPT_005_HYP_DD20_EXP_SL10_TOPN10_GUARD18_12_V1;HYP_DD20_EXP_SL10_TOPN10_GUARD18_12_V1;trade_count_repair_around_sl10;10,166474;6,802475;3,363999;-19,325183;0,526074;2402;17;11;10;-18;-12;;;10;430;0;rejected;valid_candidate;insufficient_trades:2402<3000
206;DD20ADAPT_004_HYP_DD20_EXP_SL10_TOPN8_GUARD18_12_V1;HYP_DD20_EXP_SL10_TOPN8_GUARD18_12_V1;trade_count_repair_around_sl10;10,166474;6,802475;3,363999;-19,325183;0,526074;2402;17;11;10;-18;-12;;;8;430;0;rejected;valid_candidate;insufficient_trades:2402<3000
206;DD20ADAPT_006_HYP_DD20_EXP_GUARD17_10_SL10_TOPN5_V1;HYP_DD20_EXP_GUARD17_10_SL10_TOPN5_V1;trade_count_repair_around_sl10;10,162806;6,802475;3,360332;-19,325183;0,525884;2361;17;11;10;-17;-10;;;5;432;0;rejected;valid_candidate;insufficient_trades:2361<3000
