beats_spy_cagr;cagr;calmar;config_hash;constraint_gap_score;dd_limit;decision;excess_cagr;frontier_class;max_drawdown;months_beating_spy;months_losing_to_spy;passes_dd20;rank_under_constraint;rejection_reason;run_id;spy_cagr;strategy_id;trades;years_beating_spy;years_losing_to_spy
True;36,298138;1,241144;a5f5e99638636b9c;93,33106;-20,0;rejected;25,044238;high_cagr_dd_breach;-29,245706;45;30;False;;"insufficient_trades:378<3000; max_drawdown_breaches_dd20:-29.245706<-20.000000";AUTO_083;11,2539;HYP_AUTO_LOCAL_SPY_SLOPE_RISK_ON_SEED;378;5;2
True;35,163836;1,323216;5d2b9413773eaf6e;66,613887;-20,0;rejected;23,909936;high_cagr_dd_breach;-26,574522;46;29;False;;"insufficient_trades:394<3000; max_drawdown_breaches_dd20:-26.574522<-20.000000";AUTO_066;11,2539;HYP_AUTO_LOCAL_LOW_VOL_MOMENTUM_ATR_SEED;394;6;1
True;34,658125;0,61566;ea11d3d5d7feeb15;363,200163;-20,0;rejected;27,855651;high_cagr_dd_breach;-56,294283;204;125;False;;"insufficient_trades:2228<3000; max_drawdown_breaches_dd20:-56.294283<-20.000000";RETEST_HYP_REVIEW_EXP_044_TOPN_9_V1_1999_2026_20260524_191241;6,802475;HYP_REVIEW_EXP_044_TOPN_9_V1;2228;22;6
True;34,487585;0,486927;3b33dfec8ac263c1;508,574053;-20,0;rejected;27,685111;high_cagr_dd_breach;-70,826972;208;121;False;;"insufficient_trades:2087<3000; max_drawdown_breaches_dd20:-70.826972<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_TOPN_11_V1_1999_2026_20260525_003450;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_TOPN_11_V1;2087;23;5
True;33,912439;0,512538;7593410a508c6009;462,286743;-20,0;rejected;27,109965;high_cagr_dd_breach;-66,165741;201;128;False;;"insufficient_trades:1112<3000; max_drawdown_breaches_dd20:-66.165741<-20.000000";RETEST_HYP_CAN_SLIM_CONCENTRATION_5_V1_1999_2026_20260524_170030;6,802475;HYP_CAN_SLIM_CONCENTRATION_5_V1;1112;22;6
True;33,912439;0,512538;7593410a508c6009;462,286743;-20,0;rejected;27,109965;high_cagr_dd_breach;-66,165741;201;128;False;;"insufficient_trades:1112<3000; max_drawdown_breaches_dd20:-66.165741<-20.000000";RETEST_HYP_CAN_SLIM_CONCENTRATION_5_V2_1999_2026_20260524_171246;6,802475;HYP_CAN_SLIM_CONCENTRATION_5_V2;1112;22;6
True;33,446721;0,485663;3b33dfec8ac263c1;488,9229;-20,0;rejected;26,644246;high_cagr_dd_breach;-68,86819;210;119;False;;"insufficient_trades:2277<3000; max_drawdown_breaches_dd20:-68.868190<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_TOPN_12_V1_1999_2026_20260525_004615;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_TOPN_12_V1;2277;23;5
True;33,412697;0,571615;ea11d3d5d7feeb15;384,709877;-20,0;rejected;26,610223;high_cagr_dd_breach;-58,453121;209;120;False;;"insufficient_trades:2464<3000; max_drawdown_breaches_dd20:-58.453121<-20.000000";RETEST_HYP_REFINE_AUTO002_TOPN_10_V1_1999_2026_20260524_182625;6,802475;HYP_REFINE_AUTO002_TOPN_10_V1;2464;23;5
True;32,571034;0,592852;ea11d3d5d7feeb15;349,499493;-20,0;rejected;25,76856;high_cagr_dd_breach;-54,939616;210;119;False;;"insufficient_trades:2690<3000; max_drawdown_breaches_dd20:-54.939616<-20.000000";RETEST_HYP_AUTOREFINE_AUTO_002_TOPN_11_V1_1999_2026_20260524_221124;6,802475;HYP_AUTOREFINE_AUTO_002_TOPN_11_V1;2690;22;6
True;32,457198;1,022374;02dc343081085946;118,310263;-20,0;rejected;21,203298;high_cagr_dd_breach;-31,746893;48;27;False;;"insufficient_trades:476<3000; max_drawdown_breaches_dd20:-31.746893<-20.000000";AUTO_062;11,2539;HYP_AUTO_CR_10_2139_SSRN_6516598;476;5;2
