year;strategy_return;spy_return;excess_return;won_vs_spy;avg_target_exposure;months_in_strong;months_in_neutral;months_in_weak;months_in_crisis;trades_opened;trades_closed;max_dd_year
1999;0,0;19,38023876047752;-19,38023876047752;False;36,666666666666664;1;5;6;0;0;0;0,0
2000;16,733446364987216;-9,79802320584444;26,531469570831657;True;43,333333333333336;4;3;5;0;158;110;-8,874045382888662
2001;-4,674625219928807;-11,26637317670427;6,591747956775463;True;31,666666666666668;0;3;8;1;164;164;-9,574150775928103
2002;-7,343512844294264;-23,63022220273361;16,286709358439346;True;35,0;0;3;6;3;138;147;-8,749369511615345
2003;28,382523912389445;22,191719723505443;6,190804188884002;True;53,333333333333336;8;1;3;0;136;139;-3,881980489405079
2004;11,00570864586954;8,66672579224328;2,338982853626259;True;58,333333333333336;8;4;0;0;141;130;-4,790030449294336
2005;8,664961014579609;3,499583522588412;5,165377491991197;True;60,0;9;3;0;0;141;143;-3,544359282313414
2006;4,65988424892696;11,775847299380947;-7,115963050453989;False;60,0;9;3;0;0;164;149;-6,8759609410474765
2007;11,892008699595925;3,423648414691982;8,468360284903941;True;56,666666666666664;8;3;1;0;150;166;-4,605823703445777
2008;-13,473861360140791;-37,735456824563;24,2615954644222;True;33,333333333333336;0;2;7;3;121;135;-15,670659691715583
2009;4,557632239238085;19,879521879234098;-15,321889639996012;False;55,0;6;3;0;3;176;150;-5,3570840921600364
2010;10,4036529161583;10,959144064481974;-0,5554911483236733;False;53,333333333333336;7;3;2;0;141;134;-6,1173084900606245
2011;-0,2754994876162375;-1,2199945017918434;0,944495014175606;True;50,0;6;3;3;0;128;145;-6,943440546241275
2012;6,964243164350314;11,694120519301451;-4,729877354951139;False;60,0;9;3;0;0;175;173;-3,6925717354376997
2013;9,085597269554755;26,448038839187028;-17,36244156963227;False;63,333333333333336;11;1;0;0;157;156;-2,766975471469091
2014;6,719100063694805;12,366059120717686;-5,646959057022881;False;65,0;12;0;0;0;160;148;-4,570491139576605
2015;2,484598667261073;-0,7593815967543827;3,243980264015456;True;51,666666666666664;6;4;2;0;136;151;-3,8665110732289065
2016;6,945074890284286;11,197887786494176;-4,25281289620989;False;53,333333333333336;7;3;2;0;139;136;-3,1855267346697858
2017;5,910233559007438;18,478058445821468;-12,56782488681403;False;65,0;12;0;0;0;147;156;-2,3716359228304285
2018;7,063178319342622;-7,013428438904956;14,076606758247578;True;53,333333333333336;7;3;2;0;142;144;-9,982834677074548
2019;8,243807480404875;28,651368924082757;-20,40756144367788;False;58,333333333333336;10;0;2;0;153;151;-2,638525581804463
2020;13,885445821133446;15,086037646519523;-1,200591825386077;False;53,333333333333336;7;2;2;1;134;143;-10,528717624070739
2021;7,998475709092245;28,788736259166804;-20,79026055007456;False;65,0;12;0;0;0;133;134;-3,2142873881685907
2022;0,7433508217973728;-19,94515511159379;20,688505933391163;True;40,0;1;6;4;1;161;146;-6,561371010167283
2023;10,167078506980332;24,81224421434585;-14,645165707365514;False;58,333333333333336;9;2;1;0;186;141;-5,791906145259307
2024;23,07951286967085;23,998735778721247;-0,9192229090503972;False;65,0;12;0;0;0;124;159;-6,297518647853984
2025;13,476680125314044;16,639293552326606;-3,1626134270125625;False;56,666666666666664;9;1;2;0;128;147;-9,974051710866283
2026;9,43945784293616;9,144141765739231;0,2953160771969276;True;57,0;4;0;1;0;12;48;-3,783068253876276
