run_id;strategy_id;cagr;spy_cagr;excess_cagr;max_drawdown;dd_limit;passes_dd20;beats_spy_cagr;years_beating_spy;years_losing_to_spy;months_beating_spy;months_losing_to_spy;calmar;trades;decision;rejection_reason;rank_under_constraint
DD_FIRST_16_HYP_DD_FIRST_AUTO002_EXPOSURE_60_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_60_V1;15,78141;6,802475;8,978936;-36,789786;-20,0;False;True;21;7;203;126;0,428962;3837;rejected;max_drawdown_breaches_dd20:-36.789786<-20.000000;
DD_FIRST_02_HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;HYP_DD_FIRST_AUTO002_EXPOSURE_50_V1;13,183145;6,802475;6,38067;-31,549424;-20,0;False;True;20;8;188;141;0,417857;3847;rejected;max_drawdown_breaches_dd20:-31.549424<-20.000000;
DDDAEMON_001_HYP_DD_FIRST_AUTO002_DYN_EXPOSURE_65_55_45_25_V1;HYP_DD_FIRST_AUTO002_DYN_EXPOSURE_65_55_45_25_V1;11,87758;6,802475;5,075106;-28,804358;-20,0;False;True;18;10;181;148;0,412354;3852;rejected;max_drawdown_breaches_dd20:-28.804358<-20.000000;
DD20STOPTRAIL_HYP_DD20_STOP_DYN8050200_GUARD1810_SL10_V1;HYP_DD20_STOP_DYN8050200_GUARD1810_SL10_V1;9,675868;6,802475;2,873394;-19,325183;-20,0;True;True;17;11;172;157;0,500687;2345;rejected;insufficient_trades:2345<3000;
DD20CONSIST_HYP_DD20_SPY_DYN_80_50_20_0_EQUITY_GUARD_18_10_V1_2;HYP_DD20_SPY_DYN_80_50_20_0_EQUITY_GUARD_18_10_V1;8,204287;6,802475;1,401812;-19,905192;-20,0;True;True;14;14;168;161;0,412168;1699;rejected;insufficient_trades:1699<3000;
DD20STOPTRAIL_HYP_DD20_STOPTRAIL_DYN8050200_NO_GUARD_SL12_TR18_ACT10_V1;HYP_DD20_STOPTRAIL_DYN8050200_NO_GUARD_SL12_TR18_ACT10_V1;8,142017;6,802475;1,339542;-22,927612;-20,0;False;True;13;15;168;161;0,355118;2469;rejected;"insufficient_trades:2469<3000; max_drawdown_breaches_dd20:-22.927612<-20.000000; loses_more_years_than_beats:13<15";
DD20STOPTRAIL_HYP_DD20_STOP_DYN8050200_GUARD1810_SL15_V1;HYP_DD20_STOP_DYN8050200_GUARD1810_SL15_V1;7,200479;6,802475;0,398004;-20,773255;-20,0;False;True;14;14;165;164;0,346623;1725;rejected;"insufficient_trades:1725<3000; max_drawdown_breaches_dd20:-20.773255<-20.000000";
DD20BATCH_001_HYP_DD20_SPY_DYN_65_45_25_0_V1;HYP_DD20_SPY_DYN_65_45_25_0_V1;7,082725;6,802475;0,28025;-18,599343;-20,0;True;True;13;15;165;164;0,380805;3845;rejected;loses_more_years_than_beats:13<15;
DD20STOPTRAIL_HYP_DD20_STOP_DYN8050200_GUARD1810_SL12_V1;HYP_DD20_STOP_DYN8050200_GUARD1810_SL12_V1;6,918508;6,802475;0,116033;-19,540517;-20,0;True;True;12;16;162;167;0,35406;1729;rejected;"insufficient_trades:1729<3000; loses_more_years_than_beats:12<16";
DD20STOPTRAIL_HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR15_ACT10_V1;HYP_DD20_TRAIL_DYN8050200_GUARD1810_TR15_ACT10_V1;5,784462;6,802475;-1,018013;-18,66882;-20,0;True;False;12;16;161;168;0,309846;1757;rejected;"insufficient_trades:1757<3000; does_not_beat_spy_cagr:5.784462<=6.802475; loses_more_years_than_beats:12<16";
