run_id;decision;can_move_parent;strategy_cagr_pct;strategy_max_drawdown_pct;spy_cagr_pct;excess_cagr_pct;years_beating_spy;years_losing_to_spy;trades
EXP_030;accepted_for_followup;False;53,318858529123304;-37,02788704789574;11,25390024859323;42,06495828053008;5;2;189
EXP_035;accepted_for_followup;False;53,318858529123304;-37,02788704789574;11,25390024859323;42,06495828053008;5;2;189
EXP_008;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_009;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_010;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_011;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_012;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_013;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_016;accepted_for_followup;False;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_017;promoted_candidate;True;45,802087286774395;-29,77575511111582;11,25390024859323;34,54818703818117;6;1;307
EXP_039;promoted_candidate;True;41,530299056343466;-29,561564743687285;11,25390024859323;30,276398807750237;5;2;353
EXP_007;promoted_candidate;True;37,355720486318276;-29,245705897813746;11,25390024859323;26,101820237725047;5;2;392
EXP_001;promoted_candidate;True;30,66125668218447;-33,49533031840631;11,25390024859323;19,40735643359124;5;2;334
EXP_002;promoted_candidate;True;30,66125668218447;-33,49533031840631;11,25390024859323;19,40735643359124;5;2;334
EXP_003;promoted_candidate;True;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_015;rejected;False;32,45719802508289;-31,746892704704454;11,25390024859323;21,20329777648966;5;2;476
EXP_020;rejected;False;32,45719802508289;-31,746892704704454;11,25390024859323;21,20329777648966;5;2;476
EXP_024;rejected;False;32,45719802508289;-31,746892704704454;11,25390024859323;21,20329777648966;5;2;476
EXP_040;rejected;False;32,45719802508289;-31,746892704704454;11,25390024859323;21,20329777648966;5;2;476
EXP_014;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_018;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_019;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_021;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_022;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_023;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_025;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_026;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_028;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_029;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_031;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_032;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_033;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_036;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_041;rejected;False;29,18856609087568;-32,133163410740416;11,25390024859323;17,93466584228245;5;2;593
EXP_038;rejected;False;26,224011826205327;-32,51368151966961;11,25390024859323;14,970111577612098;5;2;708
EXP_004;rejected;False;23,88504588655671;-36,056023212497344;11,25390024859323;12,631145637963481;5;2;631
EXP_005;rejected;False;23,88504588655671;-36,056023212497344;11,25390024859323;12,631145637963481;5;2;631
EXP_006;rejected;False;23,88504588655671;-36,056023212497344;11,25390024859323;12,631145637963481;5;2;631
EXP_027;rejected;False;23,855822109665592;-32,711011369089135;11,25390024859323;12,601921861072363;5;2;796
EXP_034;rejected;False;23,855822109665592;-32,711011369089135;11,25390024859323;12,601921861072363;5;2;796
EXP_037;rejected;False;23,855822109665592;-32,711011369089135;11,25390024859323;12,601921861072363;5;2;796
