run_id,strategy_id,family,parent_run_id,parent_strategy_id,support_status,support_issue,engine_translation_note,status,decision_reason,candidate_cagr,candidate_max_drawdown_pct,candidate_years_won_vs_spy,candidate_months_won_vs_spy,candidate_trades,candidate_calmar_ratio,parent_cagr,parent_max_drawdown_pct,parent_years_won_vs_spy,parent_months_won_vs_spy,parent_trades,parent_calmar_ratio,cagr_delta_vs_parent,dd_delta_vs_parent,years_won_delta_vs_parent,months_won_delta_vs_parent,trades_delta_vs_parent,accepted_rule,rejection_reason,candidate_summary_path,candidate_audit_status,candidate_rejection_reason,effect_signature,effective_config_audit_path,config_path,parent_strategy_config_path,weekly_file,daily_folder,batch_dir
HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1,HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,supported,,Applied guardrail_dynamic controls to equity_drawdown_guard.,no_effect,No material improvement versus parent DD20 metrics.,9.10020428540006,-19.325182559379282,16,173,2376,0.47089874868909676,10.427723275388235,-19.32518255937933,17,173,2387,0.5395924847461386,-1.3275189899881745,4.618527782440651e-14,-1,0,-11,No material improvement versus parent DD20 metrics.,,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1\summary.md,candidate,,9652c4a60d5f07987df272495a55fca379f11fcd700cad0d95fb972a8f0f7900,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260529_181809\effective_config_audits\HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1\effective_config_audit.json,,,,,
HYP_DD20_CTRL_SPY_FALLBACK_50_V1,HYP_DD20_CTRL_SPY_FALLBACK_50_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,requires_engine_support,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,,,,,,,,,,,,,,,,,,,,,,,a468e585bc212d8a17f901393ad77ad2ae6911df3a130c9224d34e7853e3706e,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260529_181809\effective_config_audits\HYP_DD20_CTRL_SPY_FALLBACK_50_V1\effective_config_audit.json,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\configs\generated\dd20_controlled\HYP_DD20_CTRL_SPY_FALLBACK_50_V1.json,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\configs\generated\HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1.json,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\data\sp500_feature_store_weekly_master_260523155332.csv,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\data,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260529_181809
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,supported,,"Translated top_n_dynamic -> entry_rule.top_n=16, market_filter.soft_weak_regime_top_n=8.",rejected,Breaks DD20: max_drawdown_pct is worse than -20%.,-0.09108932282113624,-23.778274861663327,8,128,245,-0.003830779287020337,10.866046722918089,-19.787732896758424,15,176,2351,0.5491304526704086,-10.957136045739226,-3.990541964904903,-7,-48,-2106,Breaks DD20: max_drawdown_pct is worse than -20%.,,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\runs\HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1\summary.md,review,,8647f2bf48636958e7abf4ab0f494c2479c811d5b32cb7a0a50e246e0e94a827,C:\Pythons\ML-Trading\Momentum\trading_agentic_research\reports\dd20_controlled_batch\20260529_181809\effective_config_audits\HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1\effective_config_audit.json,,,,,
