run_id,strategy_id,year,month,period,strategy_return_pct,spy_return_pct,diff_pct,mark
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,6,2001-06,"-2,036151739953329","-3,2589006339567184","1,2227488940033893",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,7,2001-07,"-1,4228362063293143","-2,2395865953507843","0,81675038902147",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,8,2001-08,"-1,0621354016967066","-6,518711853808523","5,4565764521118165",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,9,2001-09,"-3,44160569460521","-7,917471233038553","4,475865538433343",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,10,2001-10,"0,26712391392871293","1,4673505878482818","-1,2002266739195688",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,11,2001-11,"0,3490407341682378","5,105520971764466","-4,756480237596228",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2001,12,2001-12,"2,3230743995382053","0,8203230860412081","1,5027513134969972",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,1,2002-01,"4,448724440490315","-2,0341023967380356","6,48282683722835",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,2,2002-02,"-2,141572324498453","-1,3315579047332826","-0,8100144197651704",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,3,2002-03,"0,11198252180104618","0,6857735132289378","-0,5737909914278916",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,4,2002-04,"0,828684570329874","-5,856680721258467","6,685365291588341",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,5,2002-05,"-0,8416447698594953","-1,7951997426214783","0,953554972761983",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,6,2002-06,"-0,11891711773811542","-5,183485215809824","5,0645680980717085",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,7,2002-07,"-2,0217212669549456","-6,0496704019746605","4,027949135019715",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,8,2002-08,"0,053878611647917296","3,3791394922834783","-3,325260880635561",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,9,2002-09,"-0,46848961842206327","-7,351606200170835","6,883116581748771",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,10,2002-10,"0,668492736598747","3,2664435166702033","-2,5979507800714563",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,11,2002-11,"0,5137122173382025","4,109900134965994","-3,596187917627791",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2002,12,2002-12,"-0,4877772894536059","-6,267921033292212","5,780143743838606",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2003,1,2003-01,"-0,7972241794756529","-5,501265129042487","4,704040949566834",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2003,2,2003-02,"0,13046260562208367","-1,5423887037895545","1,6728513094116382",strategy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2003,3,2003-03,"-0,1559525293136188","0,7729831777695262","-0,928935707083145",spy
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,2003,4,2003-04,"0,0","6,822411301860765","-6,822411301860765",spy
