year;strategy_return_pct;spy_return_pct;excess_return_pct;winner
1999;0,0;19,380238760477518;-19,380238760477518;spy
2000;23,136880757759727;-9,79802320584444;32,93490396360417;strategy
2001;2,997995568471312;-11,26637317670427;14,264368745175583;strategy
2002;-29,83754160344988;-23,63022220273361;-6,207319400716269;spy
2003;191,44944726133804;22,191719723505443;169,25772753783258;strategy
2004;77,50466922485768;8,66672579224328;68,8379434326144;strategy
2005;42,463023364226316;3,499583522588412;38,96343984163791;strategy
2006;8,358248003035662;11,775847299380949;-3,417599296345287;spy
2007;114,38386954852805;3,423648414691982;110,96022113383607;strategy
2008;-46,01757297527257;-37,735456824562995;-8,282116150709577;spy
2009;9,462552340164155;19,879521879234098;-10,416969539069942;spy
2010;52,49990840967864;10,959144064481974;41,54076434519666;strategy
2011;-9,073029072403783;-1,2199945017918434;-7,853034570611939;spy
2012;48,38015926557433;11,694120519301453;36,68603874627287;strategy
2013;50,60905026682716;26,448038839187028;24,161011427640133;strategy
2014;49,83510132267428;12,366059120717686;37,46904220195659;strategy
2015;3,5134381411798365;-0,7593815967543827;4,272819737934219;strategy
2016;50,44677821408903;11,197887786494176;39,24889042759485;strategy
2017;37,88506008513175;18,478058445821468;19,40700163931028;strategy
2018;31,87445113870173;-7,013428438904956;38,88787957760668;strategy
2019;32,94072905841856;28,651368924082753;4,2893601343358085;strategy
2020;95,23606689286117;15,086037646519523;80,15002924634165;strategy
2021;55,55156841204876;28,788736259166804;26,762832152881955;strategy
2022;28,193648593487875;-19,94515511159379;48,13880370508167;strategy
2023;74,0066668434251;24,812244214345846;49,19442262907925;strategy
2024;162,44445705794394;23,998735778721247;138,44572127922268;strategy
2025;119,80573976336615;16,639293552326606;103,16644621103954;strategy
2026;90,11692633678277;9,144141765739233;80,97278457104353;strategy
